Pos	Jugador	Club	Puntos	Categoría	id_fetemba
153	La Via, Giuliano	GTM	2027	1	4159
154	Archua, Benjamin	River Plate	2024	1	4096
155	Carpio, Federico	TMR	2022	1	1487
156	Carpio, Francisco	Alvear Club	2021	1	1488
157	Barja, Luis M.	Padilla	2013	1	4075
158	Etayo, Alejandro	Fenix	2009	1	606
159	Rossi Vera, Santino	Peretz	2008	1	3357
160	Duran, Ian	Fulgor Villa Crespo	2006	1	1948
161	Merkin, Alan Gabriel	River Plate	2003	1	1471
162	Hernandez, Juan	Intendente Agüero	2000	1	1417
163	Aguaysol, Lautaro	Libre	2000	1	2379
164	Ferreyra, Matias	Libre	1999	1	4786
165	Buzzi, Maximiliano	Estacion Ping Pong	1995	1	1437
166	Ferretti, Matías	Gimnasty	1993	1	1557
167	Nievas, Diego Gustavo	Oeste TDM	1988	1	1699
168	Di Pierri, Carlos	Peretz	1987	1	1453
169	Gurevich, Ariel	Macabi	1983	1	11
170	Savanco, Marcos	Social Club TDM	1977	1	2705
171	Schvartz, Ivan	Macabi	1975	1	2633
172	Hernandez Galvan, Julio	Fenix	1974	1	2886
173	Cisilin, Estanislao	Arg Takkyu	1970	1	1252
174	Smodlaka, Guido I.	Alvear Club	1969	1	2737
175	Iwasa, Agustina	Ferrocarril Oeste	1968	1	283
176	Saavedra, Tomas	Alvear Club	1963	1	3873
177	Gambande, Lucio	San Lorenzo	1962	1	7
178	Ocampos, Juan	Inst.Atlet. Cultural	1960	1	533
179	Tabacman, Alexander	CAVA	1959	1	771
180	Gonzalez, Manuel A	CEDIMA	1959	1	2353
181	Sosa, Mateo	River Plate	1958	1	3037
182	Pombo, Joaquín	Ferrocarril Oeste	1957	1	831
183	Lovera Arteaga, Mainor	Top Minc	1957	1	1981
184	Tchintchinian, Mariano	UCA Marash Argentina	1956	1	13
185	Choca, Federico	Libre	1956	1	1506
186	Iamarino, Nicolás	Nichia Gakuin	1955	1	734
187	Carvalho, Lucas	Top Minc	1955	1	2902
188	Sato, Maximiliano	Rioja	1954	1	882
189	Candela, Juan	Fenix	1954	1	2005
190	Rajmil, Muriel	GTM	1954	1	3082
191	Beraja, Alan	Atlanta	1953	1	172
192	Pombo, Federico	Ferrocarril Oeste	1952	1	791
193	Kashiwagi, Héctor	Arg Takkyu	1950	1	905
194	Mikkonen, Jaakko	UBA Exactas	1950	1	939
195	Burstein, Julián	Libre	1946	1	398
196	Serrano, Juan José	Top Minc	1944	1	292
197	Mendoza Muñoz, Alvaro	Macabi	1944	1	4635
198	Cabrera, Braian	U.V.V.A.	1942	1	1529
199	Chavez, Pedro Joaquin	Inst.Atlet. Cultural	1941	1	3855
200	Viotti, Lucas	Nikkei TDM	1937	1	1804
201	Peña, Franco	Fulgor Villa Crespo	1937	1	1656
202	Ovejero, Fernando	El Galpong	1935	1	29
203	D'Alessandro, Tomas	Tigre TDM	1935	1	451
204	Tassara, Fernando	Banco Nacion	1931	1	718
205	Kamimura, Emilio	CAVA	1931	1	857
206	Olivé Benages, Marc	Top Minc	1928	1	1881
207	Rajmil, Damián	Tigre TDM	1926	1	430
208	Melita, Juan	Gimnasty	1925	1	429
209	Zaffaroni Velazquez, Luca N.	Fenix	1921	1	3029
210	Munno, Alvaro	Rioja	1919	1	2410
211	Fux, Gabriel	Alvear Club	1918	1	28
212	De Leon, Edgardo	Ferrocarril Oeste	1918	1	4052
213	Tenti, Joaquín	UCA Marash Argentina	1917	1	54
214	Buscema, Milton	Alvear Club	1908	1	2304
