fecha	valor
2021-03-31	1.23
2021-04-01	1.23
2021-04-02	1.23
2021-04-03	1.23
2021-04-04	1.24
2021-04-05	1.24
2021-04-06	1.24
2021-04-07	1.24
2021-04-08	1.24
2021-04-09	1.24
2021-04-10	1.24
2021-04-11	1.24
2021-04-12	1.25
2021-04-13	1.25
2021-04-14	1.25
2021-04-15	1.25
2021-04-16	1.25
2021-04-17	1.25
2021-04-18	1.25
2021-04-19	1.26
2021-04-20	1.26
2021-04-21	1.26
2021-04-22	1.26
2021-04-23	1.26
2021-04-24	1.27
2021-04-25	1.27
2021-04-26	1.27
2021-04-27	1.27
2021-04-28	1.27
2021-04-29	1.28
2021-04-30	1.28
2021-05-01	1.28
2021-05-02	1.28
2021-05-03	1.28
2021-05-04	1.29
2021-05-05	1.29
2021-05-06	1.29
2021-05-07	1.29
2021-05-08	1.29
2021-05-09	1.3
2021-05-10	1.3
2021-05-11	1.3
2021-05-12	1.3
2021-05-13	1.3
2021-05-14	1.31
2021-05-15	1.31
2021-05-16	1.31
2021-05-17	1.31
2021-05-18	1.31
2021-05-19	1.32
2021-05-20	1.32
2021-05-21	1.32
2021-05-22	1.32
2021-05-23	1.32
2021-05-24	1.33
2021-05-25	1.33
2021-05-26	1.33
2021-05-27	1.33
2021-05-28	1.33
2021-05-29	1.34
2021-05-30	1.34
2021-05-31	1.34
2021-06-01	1.34
2021-06-02	1.35
2021-06-03	1.35
2021-06-04	1.35
2021-06-05	1.35
2021-06-06	1.35
2021-06-07	1.36
2021-06-08	1.36
2021-06-09	1.36
2021-06-10	1.36
2021-06-11	1.36
2021-06-12	1.37
2021-06-13	1.37
2021-06-14	1.37
2021-06-15	1.37
2021-06-16	1.37
2021-06-17	1.38
2021-06-18	1.38
2021-06-19	1.38
2021-06-20	1.38
2021-06-21	1.39
2021-06-22	1.39
2021-06-23	1.39
2021-06-24	1.39
2021-06-25	1.39
2021-06-26	1.4
2021-06-27	1.4
2021-06-28	1.4
2021-06-29	1.4
2021-06-30	1.41
2021-07-01	1.41
2021-07-02	1.41
2021-07-03	1.41
2021-07-04	1.42
2021-07-05	1.42
2021-07-06	1.42
2021-07-07	1.42
2021-07-08	1.43
2021-07-09	1.43
2021-07-10	1.43
2021-07-11	1.43
2021-07-12	1.44
2021-07-13	1.44
2021-07-14	1.44
2021-07-15	1.44
2021-07-16	1.44
2021-07-17	1.45
2021-07-18	1.45
2021-07-19	1.45
2021-07-20	1.45
2021-07-21	1.45
2021-07-22	1.45
2021-07-23	1.45
2021-07-24	1.45
2021-07-25	1.45
2021-07-26	1.46
2021-07-27	1.46
2021-07-28	1.46
2021-07-29	1.46
2021-07-30	1.46
2021-07-31	1.46
2021-08-01	1.46
2021-08-02	1.46
2021-08-03	1.46
2021-08-04	1.46
2021-08-05	1.47
2021-08-06	1.47
2021-08-07	1.47
2021-08-08	1.47
2021-08-09	1.47
2021-08-10	1.47
2021-08-11	1.47
2021-08-12	1.47
2021-08-13	1.47
2021-08-14	1.48
2021-08-15	1.48
2021-08-16	1.48
2021-08-17	1.48
2021-08-18	1.48
2021-08-19	1.48
2021-08-20	1.48
2021-08-21	1.49
2021-08-22	1.49
2021-08-23	1.49
2021-08-24	1.49
2021-08-25	1.49
2021-08-26	1.49
2021-08-27	1.5
2021-08-28	1.5
2021-08-29	1.5
2021-08-30	1.5
2021-08-31	1.5
2021-09-01	1.5
2021-09-02	1.51
2021-09-03	1.51
2021-09-04	1.51
2021-09-05	1.51
2021-09-06	1.51
2021-09-07	1.51
2021-09-08	1.52
2021-09-09	1.52
2021-09-10	1.52
2021-09-11	1.52
2021-09-12	1.52
2021-09-13	1.52
2021-09-14	1.53
2021-09-15	1.53
2021-09-16	1.53
2021-09-17	1.53
2021-09-18	1.53
2021-09-19	1.53
2021-09-20	1.54
2021-09-21	1.54
2021-09-22	1.54
2021-09-23	1.54
2021-09-24	1.54
2021-09-25	1.55
2021-09-26	1.55
2021-09-27	1.55
2021-09-28	1.55
2021-09-29	1.55
2021-09-30	1.55
2021-10-01	1.56
2021-10-02	1.56
2021-10-03	1.56
2021-10-04	1.56
2021-10-05	1.56
2021-10-06	1.57
2021-10-07	1.57
2021-10-08	1.57
2021-10-09	1.57
2021-10-10	1.57
2021-10-11	1.58
2021-10-12	1.58
2021-10-13	1.58
2021-10-14	1.58
2021-10-15	1.58
2021-10-16	1.59
2021-10-17	1.59
2021-10-18	1.59
2021-10-19	1.59
2021-10-20	1.59
2021-10-21	1.59
2021-10-22	1.59
2021-10-23	1.59
2021-10-24	1.6
2021-10-25	1.6
2021-10-26	1.6
2021-10-27	1.6
2021-10-28	1.6
2021-10-29	1.6
2021-10-30	1.6
2021-10-31	1.6
2021-11-01	1.6
2021-11-02	1.61
2021-11-03	1.61
2021-11-04	1.61
2021-11-05	1.61
2021-11-06	1.61
2021-11-07	1.61
2021-11-08	1.61
2021-11-09	1.61
2021-11-10	1.62
2021-11-11	1.62
2021-11-12	1.62
2021-11-13	1.62
2021-11-14	1.62
2021-11-15	1.62
2021-11-16	1.62
2021-11-17	1.63
2021-11-18	1.63
2021-11-19	1.63
2021-11-20	1.63
2021-11-21	1.63
2021-11-22	1.64
2021-11-23	1.64
2021-11-24	1.64
2021-11-25	1.64
2021-11-26	1.64
2021-11-27	1.65
2021-11-28	1.65
2021-11-29	1.65
2021-11-30	1.65
2021-12-01	1.65
2021-12-02	1.66
2021-12-03	1.66
2021-12-04	1.66
2021-12-05	1.66
2021-12-06	1.67
2021-12-07	1.67
2021-12-08	1.67
2021-12-09	1.67
2021-12-10	1.67
2021-12-11	1.68
2021-12-12	1.68
2021-12-13	1.68
2021-12-14	1.68
2021-12-15	1.68
2021-12-16	1.69
2021-12-17	1.69
2021-12-18	1.69
2021-12-19	1.69
2021-12-20	1.69
2021-12-21	1.7
2021-12-22	1.7
2021-12-23	1.7
2021-12-24	1.7
2021-12-25	1.7
2021-12-26	1.71
2021-12-27	1.71
2021-12-28	1.71
2021-12-29	1.71
2021-12-30	1.71
2021-12-31	1.72
2022-01-01	1.72
2022-01-02	1.72
2022-01-03	1.72
2022-01-04	1.72
2022-01-05	1.73
2022-01-06	1.73
2022-01-07	1.73
2022-01-08	1.73
2022-01-09	1.73
2022-01-10	1.73
2022-01-11	1.74
2022-01-12	1.74
2022-01-13	1.74
2022-01-14	1.74
2022-01-15	1.74
2022-01-16	1.75
2022-01-17	1.75
2022-01-18	1.75
2022-01-19	1.75
2022-01-20	1.75
2022-01-21	1.75
2022-01-22	1.76
2022-01-23	1.76
2022-01-24	1.76
2022-01-25	1.76
2022-01-26	1.76
2022-01-27	1.76
2022-01-28	1.77
2022-01-29	1.77
2022-01-30	1.77
2022-01-31	1.77
2022-02-01	1.77
2022-02-02	1.77
2022-02-03	1.78
2022-02-04	1.78
2022-02-05	1.78
2022-02-06	1.78
2022-02-07	1.78
2022-02-08	1.78
2022-02-09	1.78
2022-02-10	1.79
2022-02-11	1.79
2022-02-12	1.79
2022-02-13	1.79
2022-02-14	1.79
2022-02-15	1.79
2022-02-16	1.8
2022-02-17	1.8
2022-02-18	1.8
2022-02-19	1.8
2022-02-20	1.8
2022-02-21	1.81
2022-02-22	1.81
2022-02-23	1.81
2022-02-24	1.81
2022-02-25	1.81
2022-02-26	1.81
2022-02-27	1.82
2022-02-28	1.82
2022-03-01	1.82
2022-03-02	1.82
2022-03-03	1.82
2022-03-04	1.83
2022-03-05	1.83
2022-03-06	1.83
2022-03-07	1.83
2022-03-08	1.83
2022-03-09	1.84
2022-03-10	1.84
2022-03-11	1.84
2022-03-12	1.84
2022-03-13	1.84
2022-03-14	1.84
2022-03-15	1.85
2022-03-16	1.85
2022-03-17	1.85
2022-03-18	1.85
2022-03-19	1.86
2022-03-20	1.86
2022-03-21	1.86
2022-03-22	1.86
2022-03-23	1.87
2022-03-24	1.87
2022-03-25	1.87
2022-03-26	1.87
2022-03-27	1.88
2022-03-28	1.88
2022-03-29	1.88
2022-03-30	1.88
2022-03-31	1.89
2022-04-01	1.89
2022-04-02	1.89
2022-04-03	1.89
2022-04-04	1.9
2022-04-05	1.9
2022-04-06	1.9
2022-04-07	1.9
2022-04-08	1.91
2022-04-09	1.91
2022-04-10	1.91
2022-04-11	1.91
2022-04-12	1.92
2022-04-13	1.92
2022-04-14	1.92
2022-04-15	1.92
2022-04-16	1.93
2022-04-17	1.93
2022-04-18	1.93
2022-04-19	1.94
2022-04-20	1.94
2022-04-21	1.94
2022-04-22	1.94
2022-04-23	1.95
2022-04-24	1.95
2022-04-25	1.95
2022-04-26	1.96
2022-04-27	1.96
2022-04-28	1.96
2022-04-29	1.97
2022-04-30	1.97
2022-05-01	1.97
2022-05-02	1.97
2022-05-03	1.98
2022-05-04	1.98
2022-05-05	1.98
2022-05-06	1.99
2022-05-07	1.99
2022-05-08	1.99
2022-05-09	2
2022-05-10	2
2022-05-11	2
2022-05-12	2.01
2022-05-13	2.01
2022-05-14	2.01
2022-05-15	2.01
2022-05-16	2.02
2022-05-17	2.02
2022-05-18	2.03
2022-05-19	2.03
2022-05-20	2.04
2022-05-21	2.04
2022-05-22	2.05
2022-05-23	2.05
2022-05-24	2.05
2022-05-25	2.06
2022-05-26	2.06
2022-05-27	2.07
2022-05-28	2.07
2022-05-29	2.08
2022-05-30	2.08
2022-05-31	2.09
2022-06-01	2.09
2022-06-02	2.1
2022-06-03	2.1
2022-06-04	2.11
2022-06-05	2.11
2022-06-06	2.12
2022-06-07	2.12
2022-06-08	2.13
2022-06-09	2.13
2022-06-10	2.14
2022-06-11	2.14
2022-06-12	2.15
2022-06-13	2.15
2022-06-14	2.15
2022-06-15	2.16
2022-06-16	2.16
2022-06-17	2.17
2022-06-18	2.17
2022-06-19	2.18
2022-06-20	2.18
2022-06-21	2.19
2022-06-22	2.19
2022-06-23	2.19
2022-06-24	2.2
2022-06-25	2.2
2022-06-26	2.21
2022-06-27	2.21
2022-06-28	2.22
2022-06-29	2.22
2022-06-30	2.22
2022-07-01	2.23
2022-07-02	2.23
2022-07-03	2.24
2022-07-04	2.24
2022-07-05	2.25
2022-07-06	2.25
2022-07-07	2.25
2022-07-08	2.26
2022-07-09	2.26
2022-07-10	2.27
2022-07-11	2.27
2022-07-12	2.28
2022-07-13	2.28
2022-07-14	2.29
2022-07-15	2.29
2022-07-16	2.29
2022-07-17	2.3
2022-07-18	2.3
2022-07-19	2.3
2022-07-20	2.31
2022-07-21	2.31
2022-07-22	2.31
2022-07-23	2.32
2022-07-24	2.32
2022-07-25	2.32
2022-07-26	2.33
2022-07-27	2.33
2022-07-28	2.33
2022-07-29	2.34
2022-07-30	2.34
2022-07-31	2.34
2022-08-01	2.35
2022-08-02	2.35
2022-08-03	2.35
2022-08-04	2.36
2022-08-05	2.36
2022-08-06	2.36
2022-08-07	2.37
2022-08-08	2.37
2022-08-09	2.37
2022-08-10	2.38
2022-08-11	2.38
2022-08-12	2.38
2022-08-13	2.39
2022-08-14	2.39
2022-08-15	2.4
2022-08-16	2.4
2022-08-17	2.4
2022-08-18	2.41
2022-08-19	2.41
2022-08-20	2.42
2022-08-21	2.42
2022-08-22	2.42
2022-08-23	2.43
2022-08-24	2.43
2022-08-25	2.44
2022-08-26	2.44
2022-08-27	2.44
2022-08-28	2.45
2022-08-29	2.45
2022-08-30	2.46
2022-08-31	2.46
2022-09-01	2.47
2022-09-02	2.47
2022-09-03	2.47
2022-09-04	2.48
2022-09-05	2.48
2022-09-06	2.49
2022-09-07	2.49
2022-09-08	2.5
2022-09-09	2.5
2022-09-10	2.5
2022-09-11	2.51
2022-09-12	2.51
2022-09-13	2.52
2022-09-14	2.52
2022-09-15	2.53
2022-09-16	2.53
2022-09-17	2.54
2022-09-18	2.54
2022-09-19	2.55
2022-09-20	2.55
2022-09-21	2.56
2022-09-22	2.56
2022-09-23	2.57
2022-09-24	2.57
2022-09-25	2.58
2022-09-26	2.58
2022-09-27	2.59
2022-09-28	2.59
2022-09-29	2.6
2022-09-30	2.61
2022-10-01	2.61
2022-10-02	2.62
2022-10-03	2.62
2022-10-04	2.63
2022-10-05	2.63
2022-10-06	2.64
2022-10-07	2.64
2022-10-08	2.65
2022-10-09	2.65
2022-10-10	2.66
2022-10-11	2.66
2022-10-12	2.67
2022-10-13	2.68
2022-10-14	2.68
2022-10-15	2.69
2022-10-16	2.69
2022-10-17	2.7
2022-10-18	2.7
2022-10-19	2.71
2022-10-20	2.71
2022-10-21	2.72
2022-10-22	2.72
2022-10-23	2.73
2022-10-24	2.73
2022-10-25	2.74
2022-10-26	2.74
2022-10-27	2.75
2022-10-28	2.75
2022-10-29	2.76
2022-10-30	2.76
2022-10-31	2.77
2022-11-01	2.77
2022-11-02	2.78
2022-11-03	2.78
2022-11-04	2.79
2022-11-05	2.79
2022-11-06	2.8
2022-11-07	2.8
2022-11-08	2.81
2022-11-09	2.81
2022-11-10	2.82
2022-11-11	2.82
2022-11-12	2.83
2022-11-13	2.83
2022-11-14	2.84
2022-11-15	2.84
2022-11-16	2.85
2022-11-17	2.85
2022-11-18	2.86
2022-11-19	2.86
2022-11-20	2.87
2022-11-21	2.88
2022-11-22	2.88
2022-11-23	2.89
2022-11-24	2.89
2022-11-25	2.9
2022-11-26	2.91
2022-11-27	2.91
2022-11-28	2.92
2022-11-29	2.92
2022-11-30	2.93
2022-12-01	2.93
2022-12-02	2.94
2022-12-03	2.95
2022-12-04	2.95
2022-12-05	2.96
2022-12-06	2.96
2022-12-07	2.97
2022-12-08	2.98
2022-12-09	2.98
2022-12-10	2.99
2022-12-11	2.99
2022-12-12	3
2022-12-13	3.01
2022-12-14	3.01
2022-12-15	3.02
2022-12-16	3.03
2022-12-17	3.03
2022-12-18	3.04
2022-12-19	3.04
2022-12-20	3.05
2022-12-21	3.05
2022-12-22	3.06
2022-12-23	3.06
2022-12-24	3.07
2022-12-25	3.08
2022-12-26	3.08
2022-12-27	3.09
2022-12-28	3.09
2022-12-29	3.1
2022-12-30	3.1
2022-12-31	3.11
2023-01-01	3.12
2023-01-02	3.12
2023-01-03	3.13
2023-01-04	3.13
2023-01-05	3.14
2023-01-06	3.14
2023-01-07	3.15
2023-01-08	3.16
2023-01-09	3.16
2023-01-10	3.17
2023-01-11	3.17
2023-01-12	3.18
2023-01-13	3.19
2023-01-14	3.19
2023-01-15	3.2
2023-01-16	3.2
2023-01-17	3.21
2023-01-18	3.21
2023-01-19	3.22
2023-01-20	3.22
2023-01-21	3.23
2023-01-22	3.24
2023-01-23	3.24
2023-01-24	3.25
2023-01-25	3.25
2023-01-26	3.26
2023-01-27	3.26
2023-01-28	3.27
2023-01-29	3.27
2023-01-30	3.28
2023-01-31	3.28
2023-02-01	3.29
2023-02-02	3.29
2023-02-03	3.3
2023-02-04	3.31
2023-02-05	3.31
2023-02-06	3.32
2023-02-07	3.32
2023-02-08	3.33
2023-02-09	3.33
2023-02-10	3.34
2023-02-11	3.34
2023-02-12	3.35
2023-02-13	3.36
2023-02-14	3.36
2023-02-15	3.37
2023-02-16	3.37
2023-02-17	3.38
2023-02-18	3.38
2023-02-19	3.39
2023-02-20	3.4
2023-02-21	3.4
2023-02-22	3.41
2023-02-23	3.42
2023-02-24	3.42
2023-02-25	3.43
2023-02-26	3.43
2023-02-27	3.44
2023-02-28	3.45
2023-03-01	3.45
2023-03-02	3.46
2023-03-03	3.47
2023-03-04	3.47
2023-03-05	3.48
2023-03-06	3.49
2023-03-07	3.49
2023-03-08	3.5
2023-03-09	3.5
2023-03-10	3.51
2023-03-11	3.52
2023-03-12	3.52
2023-03-13	3.53
2023-03-14	3.54
2023-03-15	3.54
2023-03-16	3.55
2023-03-17	3.56
2023-03-18	3.56
2023-03-19	3.57
2023-03-20	3.57
2023-03-21	3.58
2023-03-22	3.58
2023-03-23	3.59
2023-03-24	3.59
2023-03-25	3.6
2023-03-26	3.61
2023-03-27	3.61
2023-03-28	3.62
2023-03-29	3.62
2023-03-30	3.63
2023-03-31	3.63
2023-04-01	3.64
2023-04-02	3.64
2023-04-03	3.65
2023-04-04	3.66
2023-04-05	3.66
2023-04-06	3.67
2023-04-07	3.67
2023-04-08	3.68
2023-04-09	3.68
2023-04-10	3.69
2023-04-11	3.7
2023-04-12	3.7
2023-04-13	3.71
2023-04-14	3.71
2023-04-15	3.72
2023-04-16	3.72
2023-04-17	3.73
2023-04-18	3.74
2023-04-19	3.75
2023-04-20	3.76
2023-04-21	3.77
2023-04-22	3.78
2023-04-23	3.79
2023-04-24	3.8
2023-04-25	3.81
2023-04-26	3.82
2023-04-27	3.82
2023-04-28	3.83
2023-04-29	3.84
2023-04-30	3.85
2023-05-01	3.86
2023-05-02	3.87
2023-05-03	3.88
2023-05-04	3.89
2023-05-05	3.9
2023-05-06	3.91
2023-05-07	3.92
2023-05-08	3.93
2023-05-09	3.94
2023-05-10	3.95
2023-05-11	3.96
2023-05-12	3.97
2023-05-13	3.98
2023-05-14	3.99
2023-05-15	3.99
2023-05-16	4
2023-05-17	4.02
2023-05-18	4.03
2023-05-19	4.04
2023-05-20	4.05
2023-05-21	4.06
2023-05-22	4.07
2023-05-23	4.08
2023-05-24	4.09
2023-05-25	4.1
2023-05-26	4.11
2023-05-27	4.12
2023-05-28	4.14
2023-05-29	4.15
2023-05-30	4.16
2023-05-31	4.17
2023-06-01	4.18
2023-06-02	4.19
2023-06-03	4.2
2023-06-04	4.21
2023-06-05	4.23
2023-06-06	4.24
2023-06-07	4.25
2023-06-08	4.26
2023-06-09	4.27
2023-06-10	4.28
2023-06-11	4.3
2023-06-12	4.31
2023-06-13	4.32
2023-06-14	4.33
2023-06-15	4.34
2023-06-16	4.35
2023-06-17	4.37
2023-06-18	4.38
2023-06-19	4.39
2023-06-20	4.4
2023-06-21	4.42
2023-06-22	4.43
2023-06-23	4.44
2023-06-24	4.46
2023-06-25	4.47
2023-06-26	4.48
2023-06-27	4.5
2023-06-28	4.51
2023-06-29	4.52
2023-06-30	4.53
2023-07-01	4.55
2023-07-02	4.56
2023-07-03	4.57
2023-07-04	4.59
2023-07-05	4.6
2023-07-06	4.61
2023-07-07	4.63
2023-07-08	4.64
2023-07-09	4.65
2023-07-10	4.67
2023-07-11	4.68
2023-07-12	4.7
2023-07-13	4.71
2023-07-14	4.72
2023-07-15	4.74
2023-07-16	4.75
2023-07-17	4.76
2023-07-18	4.77
2023-07-19	4.78
2023-07-20	4.79
2023-07-21	4.8
2023-07-22	4.81
2023-07-23	4.82
2023-07-24	4.83
2023-07-25	4.84
2023-07-26	4.86
2023-07-27	4.87
2023-07-28	4.88
2023-07-29	4.89
2023-07-30	4.9
2023-07-31	4.91
2023-08-01	4.92
2023-08-02	4.93
2023-08-03	4.94
2023-08-04	4.95
2023-08-05	4.96
2023-08-06	4.97
2023-08-07	4.98
2023-08-08	4.99
2023-08-09	5.01
2023-08-10	5.02
2023-08-11	5.03
2023-08-12	5.04
2023-08-13	5.05
2023-08-14	5.06
2023-08-15	5.07
2023-08-16	5.08
2023-08-17	5.09
2023-08-18	5.1
2023-08-19	5.12
2023-08-20	5.13
2023-08-21	5.14
2023-08-22	5.15
2023-08-23	5.16
2023-08-24	5.17
2023-08-25	5.18
2023-08-26	5.2
2023-08-27	5.21
2023-08-28	5.22
2023-08-29	5.23
2023-08-30	5.24
2023-08-31	5.25
