Pos	Jugador	Club	Puntos	Categoria
289	Massare, Bruno                     	Fenix                         	696	6
290	Czaban, Basilio                    	Zenit                         	695	6
291	Villegas, Lautaro                  	Tigre TDM                     	695	6
292	Luna, Leonardo                     	CEDIMA                        	693	6
293	Cuoco, Juan Pablo                  	Astros Tenis de Mesa          	692	6
294	Massare, Dante                     	Fenix                         	691	6
295	Balcaza, Néstor                    	Spin TDM                      	690	6
296	Lacuadra, Sebastian H.             	Club Italiano JCPaz           	687	6
297	Quiroga Montenegro, Luka           	CASA de Padua                 	686	6
298	Urfeig, Francisco                  	Atlanta                       	685	6
299	Burstein, Tomas                    	Macabi                        	684	6
300	Capillas, Alejandro                	Banco Nacion                  	684	6
301	Di Cocco, Dario                    	Peretz                        	684	6
302	Albus, Francisco                   	Macabi                        	682	6
303	Costa, Guillermo                   	Top Minc                      	676	6
304	Gonzalez, Gustavo Martin           	San Lorenzo                   	674	6
305	Puntel, Diego Hernán               	Alvear Club                   	672	6
306	Joniak, Diego A.                   	Club 4F                       	671	6
307	Rosciano, Raul                     	Peretz                        	669	6
308	Hernandez, Carlos Alfredo          	La Legión TDM                 	667	6
309	Dykstein, Ariel A.                 	Macabi                        	667	6
310	Famiglietti, Franco A              	Rioja                         	665	6
311	Andrade, Facundo                   	Alvear Club                   	663	7
312	Makaganow Lopez, Anatoly           	UCA Marash Argentina          	662	7
313	Cardoso, Jose                      	La Legión TDM                 	661	7
314	Palermo, Nicolas                   	Arg Takkyu                    	657	7
315	Marenzi, Diego                     	CASA de Padua                 	655	7
316	Garcia, Andres                     	Fulgor Villa Crespo           	655	7
317	Depirro, Nahuel                    	Jorge Newbery TDM             	654	7
318	De la Mota, Leandro                	Spin TDM                      	653	7
319	Arias Gonzalez, Demian             	Banco Nacion                  	653	7
320	Rojas, Augusto                     	Def. Santos Lugares           	651	7
321	Boron, Andres                      	Spin TDM                      	651	7
322	Corral, Ignacio S.                 	Circulo Campano               	644	7
323	Onofri, Gustavo A                  	CAVA                          	643	7
324	Gass, Julian                       	Bar Ping Pong NTE             	640	7
325	Comoli, Pablo O.                   	Rioja                         	638	7
326	Arakaki, Ezequiel                  	Asoc. Jap. Burzaco            	637	7
327	Gomez, Tomas J.                    	Ferrocarril Oeste             	636	7
328	Bagnato, Alejandro                 	Fenix                         	635	7
329	Di Corrado, Gustavo                	River Plate                   	633	7
330	Basile, Adrian                     	Spin TDM                      	618	7
331	Fondevila Revelli, Antonio         	La Legión TDM                 	616	7
332	Bulacio, Juan Alberto              	GTM                           	612	7
333	Hernandez, Matias N.               	Ateneo de Versailles          	611	7
334	Dominguez, Elias                   	GTM                           	610	7
335	Zaina, Alejandro                   	Asoc. Yabrudense              	608	7
336	Nemeth, Jozsef                     	CTDM Nizetich                 	607	7
337	Potenza, Nahuel                    	Alvear Club                   	607	7
338	Diaz Da Costa, Milton              	Banco Nacion                  	607	7
339	Soto, Martina                      	Gimnasty                      	604	7
340	Zolezzi, Aldo F                    	CAVA                          	603	7
341	Contreras, Jean                    	Social Club TDM               	599	7
342	Guia Monzon, Ixchel                	Alvear Club                   	598	7
343	Dominguez, Luis A.                 	Inst.Atlet. Cultural          	595	7
344	Loaiza, Nicolas                    	CASA de Padua                 	588	7
345	Villegas, Carlos                   	Jorge Newbery TDM             	587	7
346	Zaniratto, Javier D.               	Asoc. Jap. Burzaco            	587	7
347	Miranda, Santiago                  	Tigre TDM                     	587	7
348	Sosa, Ivan Marcelo                 	Tigre TDM                     	584	7
349	Ercolano, Rodrigo                  	Peñarol                       	564	7
350	Greco Barragan, Federico           	Nichia Gakuin                 	558	7
351	Vazon, Nahuel                      	River Plate                   	556	7
352	Misle Belisario, Alfredo           	La Legión TDM                 	556	7
353	Cruz Muñoz, Martina                	Spin TDM                      	554	7
354	Babilani, Diego                    	Atlanta                       	550	7
355	Juri, Edgardo                      	El Galpong                    	548	7
356	Buk, Manuel                        	Bar Ping Pong NTE             	547	7
357	Ernst, Erik                        	Spin TDM                      	546	7
358	Varona Sosa, Nicolas               	La Legión TDM                 	545	7
359	Iseruk, Nicolas U.                 	Sociedad Hebraica             	541	7
360	Torres, Lautaro                    	Peretz                        	528	7
361	Huertas Bustos, Lucia              	Asoc. Yabrudense              	519	7
362	Diaz, Daniel O.                    	Club 4F                       	519	7
363	Ubilla, Gabriel A.                 	Club Italiano JCPaz           	519	7
364	Umana, Federico                    	Nichia Gakuin                 	517	7
365	Lamas, Mariano D.                  	San Lorenzo                   	516	7
366	Boada Sosa, Marco A.               	GTM                           	514	7
367	Montaño, Carlos                    	Spin TDM                      	507	7
368	Sanchez Alberti, Andres            	TMR                           	507	7
369	Soplan, Pablo                      	Boca Juniors                  	499	7
370	Avila, Maria Luz                   	Zenit                         	497	7
371	Lacoa, Esteban                     	Zenit                         	495	7
372	Castro, Gonzalo                    	La Legión TDM                 	494	7
373	Garcia Agüero, Rodrigo             	Fenix                         	489	7
374	Vinueza Lozada, Juan Jose          	Atlanta                       	477	7
375	Suzuki Son, Hernan                 	Atlanta                       	475	7
376	Casamento, Norberto                	Club Italiano JCPaz           	466	7
377	Thiessen, Joaquin                  	Ateneo de Versailles          	448	7
378	Baranchuk, Martin                  	Sociedad Hebraica             	445	7
379	Salvado, Gabriel                   	Boca Juniors                  	443	7
380	Defazio, Adrian                    	CTDM Nizetich                 	429	7
381	Montaño Lorefice, Pablo            	Spin TDM                      	429	7
382	Lock, Liliana J.                   	Padilla                       	416	7
383	Guia, Walter                       	San Lorenzo                   	398	7
384	Mandel, Mario                      	Top Minc                      	389	7
385	Schreiber, Alan                    	Macabi                        	389	7
386	Sato, Mia Hirommi                  	Gimnasty                      	369	7
387	Lori, Hanae                        	GTM                           	351	7
388	Lifschitz, Yael                    	Sociedad Hebraica             	304	7
