pos	jugador	club 	puntos	categoria
172	Beraja, Alan	Atlanta	1953	1
173	Mikkonen, Jaakko	UBA Exactas	1950	1
174	Kashiwagi, Héctor	Instituto Cia. Maria	1948	1
175	Burstein, Julián	Libre	1946	1
176	Serrano, Juan José	Top Minc	1944	1
177	Tchintchinian, Mariano	UCA Marash Argentina	1944	1
178	Carattoli, Lucas J.	Ateneo de Versailles	1943	1
179	Chavez, Pedro Joaquin	Inst.Atlet. Cultural	1941	1
180	Ovejero, Fernando	El Galpong	1937	1
181	Viotti, Lucas	Nikkei TDM	1937	1
182	D'Alessandro, Tomas	Tigre TDM	1935	1
183	Olivé Benages, Marc	Top Minc	1928	1
184	Rajmil, Damián	Tigre TDM	1926	1
185	Huergo, Maximiliano Román	Nichia Gakuin	1926	1
186	Melita, Juan	Gimnasty	1925	1
187	Olmos, Agustin	Inst.Atlet. Cultural	1924	1
188	Fux, Gabriel	Alvear Club	1918	1
189	De Leon, Edgardo	Ferrocarril Oeste	1918	1
190	Tenti, Joaquín	UCA Marash Argentina	1917	1
191	Burotto, Pablo	Nikkei TDM	1917	1
192	Gonzalez, Manuel A	Oeste TDM	1912	1
193	Savanco, Marcos	Social Club TDM	1911	1
194	Perez, Candela	Peretz	1901	1
195	Polo Canesin, Nicolas	CTDM Nizetich	1900	1
196	Pombo, Federico	Ferrocarril Oeste	1900	1
197	Buzzi, Maximiliano	Estacion Ping Pong	1900	1
198	Pereyra, Hugo	Nichia Gakuin	1895	1
199	Iamarino, Nicolás	Nichia Gakuin	1892	1
200	Menghi, Manuel	Gimnasty	1890	1
201	Ding, Divina	Ferrocarril Oeste	1887	1
202	Krowicki, Nahuel	Intendente Agüero	1885	1
203	Bentancourt, Luciano	GTM	1881	1
204	Tassara, Fernando	Banco Nacion	1881	1
205	Marginet Campos, Alejandro	GTM	1880	1
206	Morsino, Nicolas	Tigre TDM	1875	1
207	Bellusci, Pablo	Fenix	1874	1
208	Fernandez Justo, Axel	UCA Marash Argentina	1873	1
209	Loiseau, Alain	Peretz	1872	1
210	Perez, Hernán	El Galpong	1870	1
211	Mon, Hernán	Alvear Club	1869	1
212	Joszpe, Santiago	Ferrocarril Oeste	1868	1
213	Castro, Mauricio	Libre	1866	1
214	Huici, Julián	U.V.V.A.	1863	1
215	Samaja, Facundo	River Plate	1857	1
216	Strehl, Matías	Libre	1854	1
217	Varela, Franco	Fenix	1853	1
218	Ortega, Maximiliano	CAVA	1852	1
219	Roitman, Oscar	Nichia Gakuin	1848	1
220	Lopez Sanchez, Francisco Jose	CEDIMA	1841	1
221	Sato, Maximiliano	Rioja	1840	1
222	Cabrera, Tomas	Macabi	1832	1
223	Salazar, Ramón	Gimnasty	1831	1
224	Ponieman, Félix	River Plate	1831	1
225	Valdez, Eduardo	Alvear Club	1830	1
226	Rondon, Elis	Padilla	1830	1
227	Arroyo, Hernán	TMR	1829	1
228	Alzate, Camilo	Libre	1828	1
229	Duran, Andrés	UBA Exactas	1824	1
230	Rossi, Nicolás	Rioja	1820	1
231	Bellusci, Nicolás	Padilla	1818	1
232	Epsztein, Leonardo	Atlanta	1816	1
233	Morales, Alex	Gimnasty	1808	1
234	Lago, Pablo	Libre	1808	1
235	Coria, Lautaro	Zenit	1806	1
236	Puerta, Alejandro	Oeste TDM	1805	1
237	Zaffaroni Velazquez, Luca N.	Fenix	1803	1
238	Lima, Facundo	Cedem nº 2	1800	1
239	Matlin, Federico Jose	Atlanta	1800	1
240	Azcoaga Puyo, Alejandro	UCA Marash Argentina	1800	1
241	Florentin, Victor	Peretz	1794	1
242	Szlit, Joel	Alvear Club	1791	1
243	Felscher, Jonathan	Padilla	1790	1
244	Strah, Juan Pablo	Lourdes	1788	1
245	Achaval, Joaquin	Nikkei TDM	1783	1
246	Albanese, Juan Manuel	Nikkei TDM	1781	1
247	Perez Colman, Imanol	Banco Nacion	1779	1
248	Szneiberg, Hernán	Alvear Club	1778	1
249	Schvartz, Ivan	Macabi	1775	1
250	Darcyl, Leonardo	Padilla	1773	1
251	Martinez Tapia, José Manuel	CEDIMA	1772	1
252	Moralejo, Fabián	CAVA	1768	1
253	Romero, Elias	CEDIMA	1764	2
254	Rivero, Miguel	San Lorenzo	1760	2
255	Avian, Ignacio	Peñarol	1759	2
256	Aguilar, Cruz Elyana	CEDIMA	1759	2
257	Batista, Valentina	Libre	1759	2
258	Kim, Hae Ja	River Plate	1758	2
259	Sculco, Nahuel	Nikkei TDM	1756	2
260	Frezza, Leonardo	TMR	1755	2
261	Marchese, Ignacio	Zenit	1754	2
262	Levisman, Gustavo	Alvear Club	1752	2
263	Bragado, Matías	CAVA	1747	2
264	Micheli, Luis	UBA Exactas	1747	2
265	Arenas, Ezequiel	Intendente Agüero	1745	2
266	Piras, Roberto	Fenix	1743	2
267	Nagata, Sebastián	Escuela Cangallo	1739	2
