Pos	Jugador	Club	Puntos	Categoría
2781	Figueroa, Tomás                    	Libre                         	690	6
2782	Bravo de Laguna, Ignacio           	Libre                         	690	6
2783	Lausi, Francisco                   	Libre                         	690	6
2784	Perez Arce, Lucas                  	Libre                         	690	6
2785	Soto Vazquez, Sebastián            	Libre                         	690	6
2786	Azrak, Gabriel                     	Libre                         	690	6
2787	Montes de Oca, Benicio             	Libre                         	690	6
2788	Gauna, Alan G.                     	Atlanta                       	690	6
2789	Flores Garnica, Emilio             	CEDIMA                        	690	6
2790	Balcaza, Néstor                    	Spin TDM                      	690	6
2791	Kaladjian, Leonardo                	Alvear Club                   	689	6
2792	Condori, Lucas Ivan                	Nichia Gakuin                 	689	6
2793	Roman, Gonzalo F.                  	ONG Volver a Jugar            	689	6
2794	Villaverde, Alejandro              	CEDIMA                        	688	6
2795	Mayo, Mateo                        	Arg Takkyu                    	688	6
2796	Santoruffo, Luciano                	La Huella                     	688	6
2797	Arando Salguero, Marco A.          	CEDIMA                        	688	6
2798	Eiroa, Mauro                       	Jorge Newbery TDM             	688	6
2799	Pernice, Nicolás                   	Libre                         	687	6
2800	Vera, Pablo                        	Club Italiano JCPaz           	687	6
2801	Romano, Maria Rosario              	Tigre TDM                     	687	6
2802	Lacuadra, Sebastian H.             	Club Italiano JCPaz           	687	6
2803	Kamimura, Hikari                   	CAVA                          	686	6
2804	Gil Baez, Rodrigo                  	Fenix                         	686	6
2805	Elizarraga, Eduardo                	CPCN Villa Gesell             	686	6
2806	Quiroga Montenegro, Luka           	CASA de Padua                 	686	6
2807	Karahanian, Martín                 	Libre                         	685	6
2808	Cervino, Mariano                   	U.V.V.A.                      	685	6
2809	Urfeig, Francisco                  	Atlanta                       	685	6
2810	Barquiza, Matías                   	Intendente Agüero             	684	6
2811	Barone, Evan                       	Libre                         	684	6
2812	Grasso, Gerónimo                   	Libre                         	684	6
2813	Morelli, Valentino                 	U.V.V.A.                      	684	6
2814	Romanelli, Manuel                  	Libre                         	684	6
2815	Goodbar, Manuel                    	Adrogue Sith Spin             	684	6
2816	Abalos, Emmanuel                   	Tigre TDM                     	684	6
2817	Kurchan, Leandro                   	Nichia Gakuin                 	684	6
2818	Lopez Chigua, Cesar                	CEDIMA                        	684	6
2819	RIcciardi, Gustavo                 	CEDIMA                        	684	6
2820	Burstein, Tomas                    	Macabi                        	684	6
2821	Capillas, Alejandro                	Banco Nacion                  	684	6
2822	Di Cocco, Dario                    	Peretz                        	684	6
2823	Marino, Lucas                      	Libre                         	683	6
2824	Riveros, Alicia                    	Libre                         	683	6
2825	Pais, Gonzalo                      	Tigre TDM                     	683	6
2826	Ruschner, Eduardo                  	Tigre TDM                     	683	6
2827	Feijoo, Pilar                      	Libre                         	682	6
2828	Szuldman, Ezequiel                 	Macabi                        	682	6
2829	Bocca Di Fuocco, Gabriel           	Intendente Agüero             	682	6
2830	Gutierrez, Cesar                   	San Lorenzo                   	682	6
2831	Nicolini, Matias R.                	Ateneo de Versailles          	682	6
2832	Perez Cantos, Bruno                	La Legión TDM                 	682	6
2833	Albus, Francisco                   	Macabi                        	682	6
2834	Siepe, Valeria                     	CASA de Padua                 	681	6
2835	Minnelli, Roxana                   	Libre                         	681	6
2836	Polo, Agustin                      	Fulgor Villa Crespo           	681	6
2837	Miura Murayama, Noriko             	Fenix                         	681	6
2838	Malianni, Adriel                   	Lourdes                       	681	6
2839	Rodriguez, Gaston                  	GTM                           	680	6
2840	Coceres, Ivan                      	Ferrocarril Oeste             	680	6
2841	Berventan, Martín                  	Tigre TDM                     	679	6
2842	Saini, Valentino                   	Libre                         	679	6
2843	Schofrin, Valentino                	Obras Sanitarias              	679	6
2844	Gallardo, Diego Ezequiel           	Ferrocarril Oeste             	679	6
2845	Guarenas, Jean Carlo               	Arg Takkyu                    	679	6
2846	Gutierrez Algecira, Fernanda       	Nikkei TDM                    	679	6
2847	Escobari Sapkus, Joaquin           	Ferrocarril Oeste             	679	6
2848	Zucchini, Bruno                    	Macabi                        	679	6
2849	Romero, Brandon                    	CEDIMA                        	679	6
2850	Bosoms, Sofía                      	Nichia Gakuin                 	678	6
2851	Pedevilla, Franco                  	Atlanta                       	678	6
2852	Bustamante, Rodrigo                	Fulgor Villa Crespo           	678	6
2853	Blufstein, Brian                   	Ateneo de Versailles          	678	6
2854	Gualtieri, Hector Julian           	Asoc. Jap. Burzaco            	678	6
2855	Muzachiodi, Matias                 	CEDIMA                        	678	6
2856	Lopez Frances, Mauro               	CTDM Nizetich                 	678	6
2857	Squillace, Flavio                  	Alvear Club                   	678	6
2858	Carusone, Osvaldo Fabián           	TMR                           	677	6
2859	Aguilar Valero, Vicente J.         	River Plate                   	677	6
2860	Brudny, Diego E.                   	Macabi                        	677	6
2861	Cabezas, Santiago                  	Social Club TDM               	677	6
2862	Bernini, Soledad                   	CEDIMA                        	676	6
2863	Nocera, Julián                     	CASA de Padua                 	676	6
2864	Badel Franquini, Matias            	TMR                           	676	6
2865	Martinez, Guillermo                	Fenix                         	676	6
2866	Maekanehisa, Senri                 	Asoc. Jap. Burzaco            	676	6
2867	Jimenez, Raul                      	Libertad                      	676	6
2868	Terranova, Enrique                 	Circulo Campano               	676	6
2869	Costa, Guillermo                   	Top Minc                      	676	6
2870	Casadidio, Daniel                  	Libre                         	675	6
2871	Picon, Nicolas                     	Nichia Gakuin                 	675	6
2872	Leon, Daniel                       	Zenit                         	675	6
2873	Shlegel, Andrei                    	La Legión TDM                 	675	6
2874	Mautone, Dariel                    	Ateneo de Versailles          	674	6
2875	Figueroa, Juan Pablo               	Libre                         	674	6
2876	Sarbia, Nicolas                    	Libre                         	674	6
2877	Schwimmer, Gaston Fernando         	Macabi                        	674	6
2878	Cruz, Tomas A.                     	Circulo Campano               	674	6
2879	Gonzalez, Gustavo Martin           	San Lorenzo                   	674	6
2880	Cecchi, Facundo                    	Nichia Gakuin                 	672	6
2881	Badia, Valentino                   	Peñarol                       	672	6
2882	Dziubecki, Brian                   	Peñarol                       	672	6
2883	Deluca, Santiago                   	Tigre TDM                     	672	6
2884	Berrondo, Victor N.                	Tigre TDM                     	672	6
2885	Fernandez, Joaquin A.              	Estacion Ping Pong            	672	6
2886	Puntel, Diego Hernán               	Alvear Club                   	672	6
2887	D'Amico, Ricardo                   	Ateneo de Versailles          	671	6
2888	Iribas, Fernando D.                	Circulo Campano               	671	6
2889	Santucho, Alexis                   	Def. Santos Lugares           	671	6
2890	Velazco, Thomas                    	Fenix                         	671	6
2891	Joniak, Diego A.                   	Club 4F                       	671	6
2892	Chillemi, Germán                   	Top Minc                      	670	6
2893	Souza, Leonardo Dario              	San Lorenzo                   	670	6
2894	Weitzman, Francisco                	UBA Exactas                   	670	6
2895	Guerrero Garcia, Yasef D.          	Inst.Atlet. Cultural          	670	6
2896	Gutierrez, Lucas                   	Alvear Club                   	670	6
2897	Casal, Elias Emanuel               	U.V.V.A.                      	669	6
2898	Mieli, Julian                      	TMR                           	669	6
2899	Giacobbe, Miqueas                  	Club La Quinta                	669	6
2900	Karachevtcev, Andrei               	Atlanta                       	669	6
2901	Rosciano, Raul                     	Peretz                        	669	6
2902	Goldberg, Matías                   	Spin TDM                      	668	6
2903	Bueno, Tobías                      	Gimnasty                      	668	6
2904	Carucci, Bautista                  	Libre                         	668	6
2905	Fernandez, Gervasio                	Asoc. Yabrudense              	668	6
2906	Hernandez, Carlos Alfredo          	La Legión TDM                 	667	6
2907	Dykstein, Ariel A.                 	Macabi                        	667	6
2908	Yonamine, Pablo Damian             	Nikkei TDM                    	666	6
2909	Borchi, Franco                     	Club Urquiza                  	666	6
2910	Camaño, Tomas G.                   	Torre Tanque TDM              	666	6
2911	Famiglietti, Franco A              	Rioja                         	665	6
2912	Annetta, Lionel E.                 	Estacion Ping Pong            	665	7
2913	Hernandez, Diego                   	TMR                           	665	7
2914	Serrano, Joel                      	Ateneo de Versailles          	665	7
2915	Sosa, Carlos                       	Estacion Ping Pong            	665	7
2916	Rocca, Leonardo                    	Top Minc                      	665	7
2917	Blanc, Eric                        	Estacion Ping Pong            	665	7
2918	Choque, Leonardo E.                	Nichia Gakuin                 	665	7
2919	Gomez, Silvia (F)                  	Ferrocarril Oeste             	664	7
2920	Cardenas, Diana                    	Libre                         	664	7
2921	Kubrak, Cristian                   	Def. Santos Lugares           	664	7
2922	Akel, Daniel                       	Nikkei TDM                    	664	7
2923	Alvarez, Maximiliano               	Torre Tanque TDM              	664	7
2924	Cervero, Gastón                    	Libre                         	663	7
2925	Cordoba, Lucas                     	Peñarol                       	663	7
2926	Castro, Hernan Martin              	Ateneo de Versailles          	663	7
2927	Rodriguez, Leonel                  	Lourdes                       	663	7
2928	Grunwaldt, Pablo                   	San Lorenzo                   	663	7
2929	Marcovich, Andrés                  	Fenix                         	663	7
2930	Rubin, Pablo H.                    	Ateneo de Versailles          	663	7
2931	Degreef, Juan Marcelo              	Social Club TDM               	663	7
2932	Godoy, Lucio                       	Libertad                      	663	7
2933	Andrade, Facundo                   	Alvear Club                   	663	7
2934	Kazandjian, Sol                    	Libre                         	662	7
2935	Jolivot, Mariel                    	Alvear Club                   	662	7
2936	Makaganow Lopez, Anatoly           	UCA Marash Argentina          	662	7
2937	Di Pietrantonio, Cristian          	La Legión TDM                 	661	7
2938	Romero, Enrique                    	Fulgor Villa Crespo           	661	7
2939	Klass, Federico Emilio             	Club Urquiza                  	661	7
2940	Quiroga, Gonzalo                   	Libre                         	661	7
2941	Hummel, Lucas M.                   	Arg Takkyu                    	661	7
2942	Dell Immagine, Rolando I.          	CAVA                          	661	7
2943	Ortiz, Carlos Alejandro            	CAVA                          	661	7
2944	Cardoso, Jose                      	La Legión TDM                 	661	7
2945	Mizrahi, Polo                      	Libre                         	660	7
2946	Krasmansky, Mariano                	Adrogue Sith Spin             	660	7
2947	Condori,Olegario                   	Nichia Gakuin                 	660	7
2948	Barmak, Martin                     	Atlanta                       	660	7
2949	Martignone, Tadeo                  	ONG Volver a Jugar            	659	7
2950	Rodriguez Correa, Alejandro        	Ateneo de Versailles          	659	7
2951	Rueda, Roberto                     	Social Club TDM               	659	7
2952	Rebelo, Nicolas                    	Bersie TDM                    	659	7
2953	Cardinale, Alexis                  	Ateneo de Versailles          	658	7
2954	Albornoz Hernandez, Juan Pedro     	Boca Juniors                  	658	7
2955	Guiot, Bautista                    	Nichia Gakuin                 	657	7
2956	Rodriguez Goris, Gonzalo           	Nichia Gakuin                 	657	7
2957	Dominguez, Norberto                	La Legión TDM                 	657	7
2958	Burroni, Federico                  	Boca Juniors                  	657	7
2959	Palermo, Nicolas                   	Arg Takkyu                    	657	7
2960	Dutelli, Maximiliano               	Fulgor Villa Crespo           	656	7
2961	Fajardo, Julián                    	Top Minc                      	655	7
2962	Del Rio, Sebastian                 	Circulo Campano               	655	7
2963	Marenzi, Diego                     	CASA de Padua                 	655	7
2964	Garcia, Andres                     	Fulgor Villa Crespo           	655	7
2965	Hurevich, Mariano                  	River Plate                   	654	7
2966	Quintana, Mariano                  	Nikkei TDM                    	654	7
2967	Ochoa, Diego I.                    	Circulo Campano               	654	7
2968	Waisman, Gonzalo                   	Nichia Gakuin                 	654	7
2969	Borrell, Joaquin                   	CASA de Padua                 	654	7
2970	Greco, Diego E.                    	Torre Tanque TDM              	654	7
2971	Depirro, Nahuel                    	Jorge Newbery TDM             	654	7
2972	Rodriguez, Julián                  	Ferrocarril Oeste             	653	7
2973	Almiron, Luca                      	El Galpong                    	653	7
2974	Britos, Facundo E.                 	Intendente Agüero             	653	7
2975	Pimienta, Raul E.                  	Atlanta                       	653	7
2976	Descalzo Thiery, Esteban           	Top Minc                      	653	7
2977	Martino, Franco                    	Top Minc                      	653	7
2978	De la Mota, Leandro                	Spin TDM                      	653	7
2979	Arias Gonzalez, Demian             	Banco Nacion                  	653	7
2980	Albariño, Pablo                    	Alvear Club                   	652	7
2981	Zizzeta, Nicolas                   	Inst.Atlet. Cultural          	652	7
2982	Ordoñez, Santiago                  	Top Minc                      	652	7
2983	Pizzuti, Abril                     	Ferrocarril Oeste             	652	7
2984	Agüero, Alejandro Lucas            	Libre                         	651	7
2985	Villoldo, Claudio                  	Tigre TDM                     	651	7
2986	Lin, Francisco                     	Comunidad China TdM           	651	7
2987	Rojas, Augusto                     	Def. Santos Lugares           	651	7
2988	Boron, Andres                      	Spin TDM                      	651	7
2989	Gonzalez, Bautista                 	Libre                         	650	7
2990	Chang, David                       	Arg Takkyu                    	650	7
2991	Flama, Cristian R.                 	CASA de Padua                 	650	7
2992	Tanaka, Luis H.                    	Adrogue Sith Spin             	650	7
2993	Cuellos, Francisco                 	La Legión TDM                 	650	7
2994	Gallardo, Pablo                    	GTM                           	650	7
2995	Amorín Seelmann, Juan Ignacio      	Ingeniero Acosta              	650	7
2996	Cardozo, Nestor                    	La Legión TDM                 	650	7
2997	Demartini, Gabriel                 	La Legión TDM                 	650	7
2998	Saslavchik, Brian                  	La Legión TDM                 	650	7
2999	Serra Diaz, Juan Manuel            	La Legión TDM                 	650	7
3000	Taira, Alan                        	Libre                         	650	7
3001	Bertona, Nicolás                   	Nikkei TDM                    	650	7
3002	Lamarina, Matias                   	Peñarol                       	650	7
3003	Kun, Luis                          	Peñarol                       	650	7
3004	Martinez, Joaquin Ignac            	Tigre TDM                     	650	7
3005	Sequeira, Agustin                  	Libre                         	650	7
3006	Merino, Rodrigo                    	Libre                         	650	7
3007	Arceri, Santiago                   	Arg Takkyu                    	650	7
3008	Carranza, Nahuel                   	Ferrocarril Oeste             	650	7
3009	Abeledo, Luciano                   	Social Club TDM               	650	7
3010	Caligari, Marcos                   	Social Club TDM               	650	7
3011	Rosiak, Fabian                     	TMR                           	650	7
3012	Montanari, Gonzalo                 	La Legión TDM                 	650	7
3013	Panelli, Juan                      	La Legión TDM                 	650	7
3014	Suurhasko, Mauro                   	Intendente Agüero             	650	7
3015	Gonzalez, Fabrizio                 	Estacion Ping Pong            	650	7
3016	Paz, Pablo Ariel                   	Estacion Ping Pong            	650	7
3017	D'Ippolito, Sergio                 	Club Urquiza                  	650	7
3018	Saquero, Pablo                     	Arg Takkyu                    	650	7
3019	Roth, Bruno                        	Sociedad Hebraica             	650	7
3020	Faiella, German                    	Top Serrano                   	650	7
3021	Aldorino, Nicolas                  	La Legión TDM                 	650	7
3022	Rodriguez Moyano, Tomas            	U.V.V.A.                      	650	7
3023	Stassi, Tomas A.                   	Ateneo de Versailles          	650	7
3024	Williams, Julian                   	Inst.Atlet. Cultural          	650	7
3025	Acosta, Gaston                     	Peretz                        	650	7
3026	Montiel, Agustin                   	Ateneo de Versailles          	650	7
3027	Casco, Juan Pablo                  	Circulo Campano               	650	7
3028	Mutal, Alejo                       	River Plate                   	650	7
3029	Romano, Tomas                      	Ateneo de Versailles          	650	7
3030	Toscano, Walter N.                 	Ateneo de Versailles          	650	7
3031	Borgani, Esteban                   	Estacion Ping Pong            	650	7
3032	Zolkwer, Max Federico              	Estacion Ping Pong            	650	7
3033	Castro Granados, Mateo             	Sociedad Hebraica             	650	7
3034	Salusso, Silvio                    	TMR                           	650	7
3035	Cupioli, Luciano                   	Zenit                         	650	7
3036	Rohleder, Matias                   	Banco Nacion                  	650	7
3037	Makarov, Anton                     	Astros Tenis de Mesa          	650	7
3038	Gaggero, Nicolas                   	Peretz                        	650	7
3039	Nuñez Muller, Lautaro              	Peretz                        	650	7
3040	Tejelo, Enrique                    	Peñarol                       	650	7
3041	Arano, Tobias                      	Esp.Cultural La 505           	650	7
3042	Rolon, Sergio                      	Libertad                      	650	7
3043	Hirsch, Tomas                      	Banco Nacion                  	650	7
3044	Brun, Lucas                        	Top Minc                      	649	7
3045	Ramirez, Leandro                   	Oeste TDM                     	648	7
3046	Perez Amarilla, Gabriel            	Spin TDM                      	648	7
3047	Nakasone, Javier                   	Libre                         	648	7
3048	Vilaplana, Santiago                	Ferrocarril Oeste             	647	7
3049	Melo, Edgardo Hugo                 	Adrogue Sith Spin             	647	7
3050	Briozzo, Lucas D.                  	Ateneo de Versailles          	647	7
3051	Cedron, Jose Matias                	Fulgor Villa Crespo           	647	7
3052	Bonich, Horacio                    	Adrogue Sith Spin             	647	7
3053	Cestau, Daniel                     	CAVA                          	647	7
3054	Goiriz, Federico Gabriel           	Zenit                         	646	7
3055	Piaggio, Nicolas                   	CTDM Nizetich                 	646	7
3056	Gerpe, Santiago D.                 	CASA de Padua                 	645	7
3057	Lavieri Daireaux, Lorenzo          	Ateneo de Versailles          	645	7
3058	Nashiro, Silvia L.                 	Fulgor Villa Crespo           	645	7
3059	Rogoski, Santiago N.               	Astros Tenis de Mesa          	645	7
3060	Picchi, Leandro                    	Studio Ping Pong              	645	7
3061	RIvero, Carlos A.                  	Studio Ping Pong              	645	7
3062	Schahab, Alejandro G.              	Estacion Ping Pong            	644	7
3063	Corral, Ignacio S.                 	Circulo Campano               	644	7
3064	Frohmann, Ricardo                  	Spin TDM                      	643	7
3065	Troiano, Gustavo Alfredo           	Studio Ping Pong              	643	7
3066	Ditzel, Thiago                     	Oeste TDM                     	643	7
3067	Onofri, Gustavo A                  	CAVA                          	643	7
3068	Grotteschi, Eduardo                	CASA de Padua                 	642	7
3069	Galardi, Daniel                    	Torre Tanque TDM              	642	7
3070	Presas, Alfredo                    	Rioja                         	642	7
3071	Dagorret, Lautaro                  	Libertad                      	642	7
3072	Chen, Jimmy Emanuel                	Comunidad China TdM           	642	7
3073	Fuentes, Guido                     	River Plate                   	641	7
3074	Hornos, Bruno M.                   	Circulo Campano               	641	7
3075	Aladro, Ignacio                    	Atlanta                       	641	7
3076	Reda, Mateo                        	CTDM Nizetich                 	640	7
3077	Macas Macias, Ariel                	Atlanta                       	640	7
3078	Añez Castillo, Andres              	Nikkei TDM                    	640	7
3079	Gass, Julian                       	Bar Ping Pong NTE             	640	7
3080	Delfino, Diego                     	Spin TDM                      	639	7
3081	Krasmansky, Lucas                  	Adrogue Sith Spin             	639	7
3082	Ledesma, Laura                     	Nikkei TDM                    	639	7
3083	Escalante, Maximiliano             	Fenix                         	638	7
3084	Sosa, Nicolas E.                   	Tigre TDM                     	638	7
3085	Rios, Facundo                      	Ingeniero Acosta              	638	7
3086	Goldwasser, Jonathan               	Sociedad Hebraica             	638	7
3087	Comoli, Pablo O.                   	Rioja                         	638	7
3088	Trujillo Palacio, Samantah         	Alvear Club                   	637	7
3089	Recalde, Adrian                    	Zenit                         	637	7
3090	Quintana, Jorge                    	Club Urquiza                  	637	7
3091	Russo, Ruben                       	CAVA                          	637	7
3092	Uboldi, Andres                     	Club Urquiza                  	637	7
3093	Adad, Walter R.                    	Def. Santos Lugares           	637	7
3094	Arakaki, Ezequiel                  	Asoc. Jap. Burzaco            	637	7
3095	Litvak, Raúl                       	Alvear Club                   	636	7
3096	Russo, Nicolas Manuel              	Nichia Gakuin                 	636	7
3097	Spinelli, Tomas Emmanuel           	Tigre TDM                     	636	7
3098	Nitoda, Yoshifumi                  	La Legión TDM                 	636	7
3099	Felix, Juan                        	Club Italiano JCPaz           	636	7
3100	Gomez, Tomas J.                    	Ferrocarril Oeste             	636	7
3101	Acenelli, Joaquín                  	San Lorenzo                   	635	7
3102	Alvino, Antonio                    	CASA de Padua                 	635	7
3103	Varela, Jorge                      	Banco Nacion                  	635	7
3104	Salusso, Tatiana                   	TMR                           	635	7
3105	Torres, Daniel                     	Oeste TDM                     	635	7
3106	Gonzalez, Thiago                   	EP 9 Hurlingham               	635	7
3107	Duarte, Lautaro                    	UBA Exactas                   	635	7
3108	Bagnato, Alejandro                 	Fenix                         	635	7
3109	Ortiz, Hugo Alberto                	El Galpong                    	634	7
3110	Malale, Leonel                     	Atlanta                       	634	7
3111	Fantini, Carlos N.                 	Ateneo de Versailles          	634	7
3112	Yan, Cristian                      	Ateneo de Versailles          	634	7
3113	Lemes Berardi, Lucas               	Ateneo de Versailles          	634	7
3114	Rugiero, Ezequiel                  	Asoc. Jap. Burzaco            	634	7
3115	Arano, Yaco                        	Esp.Cultural La 505           	634	7
3116	Passera, Norberto                  	Top Minc                      	633	7
3117	Peralta, Demian                    	Libre                         	633	7
3118	Petkovsek, Mario                   	CASA de Padua                 	633	7
3119	Di Corrado, Gustavo                	River Plate                   	633	7
3120	Maciel, Rodrigo                    	Peñarol                       	632	7
3121	Serra, Juan                        	Nichia Gakuin                 	632	7
3122	Aldao, Adrian N                    	La Mesita                     	632	7
3123	Astellano, Tomas                   	Social Club TDM               	632	7
3124	Aguirre, Martin                    	Bar Ping Pong NTE             	632	7
3125	Haidukowski, Adrian                	Atlanta                       	632	7
3126	Starosta, Ramiro                   	GTM                           	631	7
3127	Rodriguez Roge, Leonardo           	Gimnasty                      	631	7
3128	Diaz, Gonzalo                      	Oeste TDM                     	630	7
3129	Torrellas, Jordi A                 	CASA de Padua                 	630	7
3130	Espinosa  Dotta, Julian            	Atlanta                       	630	7
3131	Gorbach, Flavio                    	CTDM Nizetich                 	630	7
3132	Mayo, Andres                       	Arg Takkyu                    	630	7
3133	Degiuseppe, Franco G.              	Top Minc                      	629	7
3134	Milan, Tomas                       	CTDM Nizetich                 	629	7
3135	Morales, Victor Hugo               	Social Club TDM               	628	7
3136	Scarfone, Nicolás                  	River Plate                   	627	7
3137	Quiceno, Guillermo                 	Asoc. Yabrudense              	627	7
3138	Lamarina, Sergio                   	Peñarol                       	627	7
3139	Pecora, Paulo                      	La Legión TDM                 	627	7
3140	Vdovichenko, Tiago                 	EP 9 Hurlingham               	627	7
3141	Sivaci, Pablo                      	UCA Marash Argentina          	626	7
3142	Martire, Daniel A                  	Circulo Campano               	626	7
3143	Tapia Spahn, Ezequiel              	Banco Nacion                  	626	7
3144	Kohan, Mauricio                    	Fenix                         	625	7
3145	Cuzzolino, Luciano                 	Peñarol                       	625	7
3146	Navia, Martin                      	Top Minc                      	625	7
3147	Solari Vitali, Eduardo J.          	CAVA                          	624	7
3148	Izquierdo, Francisco A             	Libre                         	624	7
3149	Mechura, Julian                    	Gimnasty                      	624	7
3150	Rojas, Milagro Nicol               	Social Club TDM               	624	7
3151	Gonzalez, Jonathan                 	Social Club TDM               	624	7
3152	Herrera, Tomas                     	Circulo Campano               	624	7
3153	Digifico, Rodrigo E.               	Def. Santos Lugares           	624	7
3154	Fiszman, Mariano                   	Atlanta                       	623	7
3155	Molina, Mariano                    	Libre                         	623	7
3156	Restaino, Marcelo                  	Estacion Ping Pong            	623	7
3157	Schmidberg, Javier                 	Torre Tanque TDM              	623	7
3158	Gonzalez, Hector                   	Oeste TDM                     	622	7
3159	Uema, Alejandro                    	Nikkei TDM                    	622	7
3160	Gomez, Derek Demian                	La Huella                     	622	7
3161	Graces, Leonardo                   	Arg Takkyu                    	622	7
3162	Brandan, Lucas                     	Oeste TDM                     	621	7
3163	Baez, Federico                     	Tigre TDM                     	621	7
3164	Gutierrez, Juan Andres             	Bersie TDM                    	621	7
3165	Tenenbaum, Alan                    	Sociedad Hebraica             	621	7
3166	Milano, Margareth                  	Bar Ping Pong NTE             	621	7
3167	Sanchez, Rosana G.                 	CEDIMA                        	621	7
3168	Perez, Gabriel                     	Social Club TDM               	621	7
3169	Mastropietro, Bruno                	UBA Exactas                   	620	7
3170	Freire, Esteban                    	Def. Santos Lugares           	620	7
3171	Montenegro, Benjamin               	TMR                           	620	7
3172	Lopez, Diego                       	Alvear Club                   	620	7
3173	Coria, Agustin                     	Estacion Ping Pong            	620	7
3174	Pringe, Hernan                     	La Legión TDM                 	620	7
3175	Jurado, Nicolas N.                 	Esp.Cultural La 505           	620	7
3176	Valado, Nahuel                     	Alvear Club                   	619	7
3177	Urruty Fiuza, Leonardo             	Asoc. Yabrudense              	619	7
3178	Malm Green, Francisco              	Padilla                       	619	7
3179	Irahola Orozco, Victor             	Fulgor Villa Crespo           	619	7
3180	Dominguez, Rodrigo José            	Ferrocarril Oeste             	618	7
3181	Ponce, Jonas                       	Libre                         	618	7
3182	Zayat, Martin                      	Nikkei TDM                    	618	7
3183	Aravena, Milton                    	La Legión TDM                 	618	7
3184	Basile, Adrian                     	Spin TDM                      	618	7
3185	Amoedo, Hugo                       	Def. Santos Lugares           	617	7
3186	Saenz, David                       	CASA de Padua                 	617	7
3187	Paganini, Dario                    	Adrogue Sith Spin             	617	7
3188	Gomez, Jeremias                    	ONG Volver a Jugar            	617	7
3189	Nieva, Miguel                      	Nichia Gakuin                 	617	7
3190	Brunskole, Nicolas                 	La Legión TDM                 	617	7
3191	Molero, Roman                      	Peretz                        	617	7
3192	Agnelli, Cristian                  	Adrogue Sith Spin             	616	7
3193	Marty, Ricardo                     	Ateneo de Versailles          	616	7
3194	Duarte, Elio                       	Jorge Newbery TDM             	616	7
3195	Fondevila Revelli, Antonio         	La Legión TDM                 	616	7
3196	Gomez, Marcelo L.                  	CAVA                          	615	7
3197	Arias, Tomas                       	Top Minc                      	615	7
3198	Wang, Dewey                        	Sociedad Hebraica             	615	7
3199	Pucci Lamanna, Franco              	Torre Tanque TDM              	615	7
3200	Fernandez, Gustavo                 	Adrogue Sith Spin             	614	7
3201	Gutierrez Cabrera, Marylin         	Top Minc                      	614	7
3202	Avellaneda, Leandro                	TMR                           	614	7
3203	Riestra, Gabriel                   	Padilla                       	614	7
3204	Jelen, Sebastian                   	Studio Ping Pong              	614	7
3205	Amigorena, Ramiro                  	Arg Takkyu                    	613	7
3206	Tamaki, Eduardo                    	GTM                           	613	7
3207	Mantovano, Micaela                 	Alvear Club                   	613	7
3208	Katzman, Alejo                     	CTDM Nizetich                 	613	7
3209	Rodio, Agustin                     	CASA de Padua                 	612	7
3210	Stella, Luis                       	River Plate                   	612	7
3211	Lopez Garro, Roman                 	CTDM Nizetich                 	612	7
3212	Guadano, Alejandro                 	Peñarol                       	612	7
3213	Olivieri, Felipe                   	Club La Quinta                	612	7
3214	Malagrino, Federico                	Fulgor Villa Crespo           	612	7
3215	Chamorro, Sergio A                 	Padilla                       	612	7
3216	Bulacio, Juan Alberto              	GTM                           	612	7
3217	Godoy, Maurizio E.                 	Libre                         	611	7
3218	Soto, Carlos                       	Top Minc                      	611	7
3219	Hernandez, Matias N.               	Ateneo de Versailles          	611	7
3220	Roson, Ezequiel                    	Top Minc                      	610	7
3221	Romero Sarcos, Daniel E.           	La Legión TDM                 	610	7
3222	Villaverde, Alberto B.             	Nichia Gakuin                 	610	7
3223	Neira, Andres E.                   	UCA Marash Argentina          	610	7
3224	Dominguez, Elias                   	GTM                           	610	7
3225	Posniak, Darío Hernán              	Alvear Club                   	609	7
3226	Carrizo Lopez, Denisse Celeste     	Ferrocarril Oeste             	609	7
3227	Sassoon, Maximiliano               	River Plate                   	609	7
3228	Aburto, Mario                      	Libre                         	608	7
3229	Weledniger, Daniel A.              	Padilla                       	608	7
3230	Zaina, Alejandro                   	Asoc. Yabrudense              	608	7
3231	Fernandez, Isidro                  	Fulgor Villa Crespo           	607	7
3232	Rodriguez Salem, Lucia             	Gimnasty                      	607	7
3233	Gomez Pizzio, David                	Libertad                      	607	7
3234	Wilmans, Lautaro                   	CEDIMA                        	607	7
3235	Cordero, Orlando                   	Social Club TDM               	607	7
3236	Cerezo, Luciano                    	Arg Takkyu                    	607	7
3237	Nemeth, Jozsef                     	CTDM Nizetich                 	607	7
3238	Potenza, Nahuel                    	Alvear Club                   	607	7
3239	Diaz Da Costa, Milton              	Banco Nacion                  	607	7
3240	Gomez, Claudia                     	Ferrocarril Oeste             	606	7
3241	Bron, Maximiliano                  	Ateneo de Versailles          	606	7
3242	Ikemiya, Emilio                    	Social Club TDM               	606	7
3243	Scrocco, Lucas                     	San Lorenzo                   	606	7
3244	Brasburg, Sebastian                	Top Minc                      	606	7
3245	Jan, Juan Maria                    	Banco Nacion                  	606	7
3246	Molteno, Jose Eduardo              	Libre                         	605	7
