pos	jugador	club 	puntos	categoria
183	Martinez Alcalde, Emanuel	CEDIMA	1024	4
184	Villanueva, Gonzalo	Circulo Campano	1022	4
185	Tapari, Claudio	Rioja	1011	4
186	Crevecouer, Nicolás	Intendente Agüero	1011	4
187	Battaglini, Alejandro	Alvear Club	1009	4
188	Ares, Juan Rodrigo	Ingeniero Acosta	1009	4
189	Herrera, Juan Ignacio	TMR	1001	4
190	Aguilar Ikeda, Justina Mayumi	Fenix	996	4
191	Edgar, Ian	Fenix	995	4
192	Canteros, Cristian	Ferrocarril Oeste	989	4
193	Florindo Molina, Claudio	Spin TDM	985	4
194	Cohen, Jonathan	Alvear Club	980	4
195	Cheong Cutreta, Agustín	Estacion Ping Pong	979	4
196	Perez, Martin	Alvear Club	977	4
197	Lori, David	GTM	974	4
198	Garcia, Lucas	Alvear Club	973	4
199	Alvarez, Felipe	Boca Juniors	969	4
200	Lori, Hikaru	GTM	966	4
201	Sasson, Maximiliano D	Sociedad Hebraica	966	4
202	Rossi, Sebastian	Peretz	966	4
203	Aquino, Manuel	GTM	964	4
204	Bentancourt, Rubén	GTM	963	4
205	Vazquez, Alejandro	River Plate	957	4
206	Scorza, Ezequiel	Boca Juniors	954	4
207	Villegas Castiñeiras, Maximo	Jorge Newbery TDM	944	4
208	Murakoshi, Nahuel	Asoc. Jap. Burzaco	939	4
209	Collante, Axel	Bar Ping Pong NTE	938	4
210	Cornejo, Franco	GTM	937	4
211	Geronimo, Ismael Alejandro	Top Minc	936	5
212	Puk Vidal, Sebastian	Peretz	930	5
213	Ramos, Nicolas J.	Ateneo de Versailles	930	5
214	Isola, Andres	AsociacionYabrudense	922	5
215	Puk Vidal, Santiago	Peretz	921	5
216	Skliarsky, Eithan	Fenix	921	5
217	Aguiar, Gonzalo	Tigre TDM	917	5
218	Silvero, Nahuel A.	Def. Santos Lugares	917	5
219	Vignolo, Matias Daniel	Fenix	912	5
220	Saffar, Claudio	Circulo Campano	907	5
221	Bienati, Carlos	Bar Ping Pong NTE	906	5
222	Molteno, Juan Andres	Top Minc	902	5
223	Bellomi, Joaquin	CEDIMA	900	5
224	Vega, Nicolás	Alvear Club	897	5
225	Gulloni, Fernando	San Lorenzo	886	5
