pos	id	jugador	club	puntos	categoria
2033	4367	Tsarev, Maxim                      	Bar Ping Pong NTE             	826	5
2034	680	Panela, Franco                     	Gimnasty                      	825	5
2035	958	Brezman, Alan                      	Macabi                        	825	5
2036	995	Nieczyporczyk, Ricardo             	Libre                         	825	5
2037	1146	Lemos, Jorge                       	GTM                           	825	5
2038	1537	Ortiz Montealegre, Miguel          	Nichia Gakuin                 	825	5
2039	3741	Juffar, Sebastian                  	Estacion Ping Pong            	825	5
2040	661	Wigodzky, Darío                    	Libre                         	824	5
2041	1719	Perez, Matías                      	Libre                         	824	5
2042	2392	Chattah, Jose C                    	Estacion Ping Pong            	824	5
2043	808	Genna, Leonardo                    	Rioja                         	823	5
2044	1036	Gonzalez, Matías Ezequiel          	Ferrocarril Oeste             	823	5
2045	1439	Oliva Mayer, Horacio               	CPCN Villa Gesell             	823	5
2046	2008	Krynski, Sebastián                 	Nichia Gakuin                 	823	5
2047	2035	Fuks, Eduardo                      	Fulgor Villa Crespo           	823	5
2048	2951	Monteforte, Nicolas A.             	Lourdes                       	823	5
2049	3341	Banegas, Ivan                      	Alvear Club                   	823	5
2050	801	Maidana, Maximiliano               	Libre                         	822	5
2051	896	Tsunoda, Sofía                     	Gimnasty                      	822	5
2052	1007	Iguei, Nakagawa Juan               	Libre                         	822	5
2053	1038	Paz Polito, Nicolás                	Libre                         	822	5
2054	1379	Zuccolo, Iván                      	Lourdes                       	822	5
2055	1422	Vallejos, Ricardo                  	Gimnasty                      	822	5
2056	4178	Gonzalez, Fermin                   	Rioja                         	822	5
2057	1163	Gramisci, Federico                 	Top Minc                      	821	5
2058	1299	Gomez, Leonardo Gabriel            	Adrogue Sith Spin             	821	5
2059	1318	Hagenbuch, Danilo                  	Top Minc                      	821	5
2060	1435	Sosa, Rocío                        	River Plate                   	821	5
2061	1631	Pinto, Diego                       	Nichia Gakuin                 	821	5
2062	1815	Greco, Luis                        	Fenix                         	821	5
2063	886	Vaineras, Darío                    	Libre                         	820	5
2064	1765	Kalejman, Ignacio                  	GTM                           	820	5
2065	588	Arcidiacono, Carmen                	Rioja                         	819	5
2066	792	Nuss, Federico                     	TMR                           	819	5
2067	1070	Bocuzzi, Esteban                   	Adrogue Sith Spin             	819	5
2068	1404	Maglia, Fernando                   	Libre                         	819	5
2069	1450	Iturralde, Esteban                 	Ingeniero Acosta              	819	5
2070	1950	Winnik, Carlos Alberto             	Macabi                        	819	5
2071	208	Alvarez, José                      	Peretz                        	818	5
2072	735	Vitaliano, Martín                  	Libre                         	818	5
2073	1026	Fuentes, Alejandro                 	Intendente Agüero             	818	5
2074	1028	Rodriguez, Matías                  	Libre                         	818	5
2075	1088	Maldonado, Pablo                   	Peñarol                       	818	5
2076	1238	Storchi, Gabriel                   	CAVA                          	818	5
2077	1371	Donoso, Sebastián                  	Adrogue Sith Spin             	818	5
2078	1447	Bala, Horacio                      	Oeste TDM                     	818	5
2079	1687	Fontana, Mauro Esteban             	Libre                         	818	5
2080	274	Arnalda, Alejandro                 	Club 4F                       	817	5
2081	605	Tripay, Hector                     	Libre                         	817	5
2082	1004	Orquin, Gustavo                    	La Legión TDM                 	817	5
2083	1624	Battan, Julián                     	Lourdes                       	817	5
2084	1670	Mendeguia, Roberto                 	Ingeniero Acosta              	817	5
2085	1786	Cordova, Héctor                    	Peñarol                       	817	5
2086	900	Tiercin, Pablo                     	Alvear Club                   	816	5
2087	901	Becerra, Ramiro                    	Ferrocarril Oeste             	816	5
2088	948	Rodriguez, Matías                  	Peñarol                       	816	5
2089	1032	Deschutter, Mateo                  	Libre                         	816	5
2090	1094	Mendoza, Diego                     	Libre                         	816	5
2091	1135	Fux, Sebastián                     	Nichia Gakuin                 	816	5
2092	1566	Gomez, Fernando                    	Libre                         	816	5
2093	230	Escalante, Eduardo                 	Club Italiano JCPaz           	815	5
2094	683	Suchecki, Fernando                 	GTM                           	815	5
2095	1187	Federico, Miguel                   	Padilla                       	815	5
2096	4020	Albarracin, Claudio                	CEDIMA                        	815	5
2097	3837	Rubin Minetti, Dante               	Ateneo de Versailles          	815	5
2098	872	Asorey, Gonzalo                    	TMR                           	814	5
2099	953	Campos, Mariano                    	Libre                         	814	5
2100	1423	Vallejos, Ramiro                   	Gimnasty                      	814	5
2101	636	Roldan, Lucas                      	TMR                           	813	5
2102	887	Inga, Eduardo                      	Peñarol                       	813	5
2103	918	Berta, Ezequiel                    	TMR                           	813	5
2104	996	Weinreich, Rodolfo                 	Libre                         	813	5
2105	1560	Aliota, Matías                     	CEDIMA                        	813	5
2106	1618	Diaz, David                        	Peñarol                       	813	5
2107	2646	Illobre, Diego                     	Libre                         	813	5
2108	762	Alaluf, Gustavo                    	Libre                         	812	5
2109	891	Magadan, Alberto                   	TMR                           	812	5
2110	937	Chananpa, Carlos                   	La Legión TDM                 	812	5
2111	1580	Perez, Gabriel                     	Tigre TDM                     	812	5
2112	2663	Haylan, Gabriel                    	Zenit                         	812	5
2113	612	Robledo, Alberto                   	Rioja                         	811	5
2114	766	Hurevich, Javier                   	Spin TDM                      	811	5
2115	868	Pinciroli, Juan Manuel             	Ingeniero Acosta              	811	5
2116	952	Politti, Micael                    	Libre                         	811	5
2117	1067	Staffolani, Mariano                	TMR                           	811	5
2118	1408	Buscalia, Jean Lucas               	Libre                         	811	5
2119	1877	Schumich, Sergio                   	La Legión TDM                 	811	5
2120	2558	Oliva Beningazza, Bianca M         	CPCN Villa Gesell             	811	5
2121	3378	Sposato, Valentino                 	River Plate                   	811	5
2122	1077	Rubin, Uriel                       	Libre                         	810	5
2123	1185	Greitzer, Eduardo                  	Padilla                       	810	5
2124	1802	Otero, Jorge                       	Atlanta                       	810	5
2125	1940	Sosa, Pedro                        	Libre                         	810	5
2126	3520	Damiani Quiroz, Fernando           	Ateneo de Versailles          	810	5
2127	407	Rodriguez, Ignacio                 	UBA Exactas                   	809	5
2128	675	Catracchia, Gastón                 	Rioja                         	809	5
2129	993	Paulo, Marcos                      	TMR                           	809	5
2130	1363	Siffredi, Ignacio                  	Lourdes                       	809	5
2131	1452	Perez, Nazareno Damián             	Oeste TDM                     	809	5
2132	1661	Leiva, Haydee                      	TMR                           	809	5
2133	1726	Roig, Sem                          	Libre                         	809	5
2134	1784	Gonzalez, Javier                   	Fenix                         	809	5
2135	2667	Pereira, Martin                    	Social Club TDM               	809	5
2136	2814	Quilici, Luciano                   	Banco Nacion                  	809	5
2137	3695	Trillini, Juan                     	Atlanta                       	809	5
2138	1414	Scarpa, Matías                     	Libre                         	808	5
2139	1803	Busquets, Gabriel                  	Lourdes                       	808	5
2140	1218	Caballero, Rodrigo                 	Libre                         	807	5
2141	1274	Harima, Marcela                    	Gimnasty                      	807	5
2142	4334	Ponce, Federico                    	TMR                           	807	5
2143	135	Teplitzky, Javier                  	Libre                         	806	5
2144	409	Alcaide, Carlos                    	CEDIMA                        	806	5
2145	669	Tapari, Leonel                     	Rioja                         	806	5
2146	990	Valle, Walter                      	CAVA                          	806	5
2147	1241	Silveira, Gastón                   	Libre                         	806	5
2148	1289	Schjaer Justicia, Cristian         	Nichia Gakuin                 	806	5
2149	1461	Taboada, Alfredo                   	Fenix                         	806	5
2150	1634	Levy, Tomás                        	River Plate                   	806	5
2151	1905	Gonzalez, Federico                 	Libre                         	806	5
2152	2177	Palavecino, Luca                   	Oeste TDM                     	806	5
2153	3747	Zain, Ivan                         	Fulgor Villa Crespo           	806	5
2154	68	Vazquez, Alejandro                 	River Plate                   	806	5
2155	4108	Schultz, Joaquin                   	Tigre TDM                     	806	5
2156	307	Etcheverry, Sebastián              	Jorge Newbery TDM             	805	5
2157	925	Tauro, Fabio                       	CEDIMA                        	805	5
2158	1000	Tapari, Nahuel                     	Peñarol                       	805	5
2159	1203	Gonzalez, Diego                    	Libre                         	805	5
2160	1279	Evers, Ian                         	Nichia Gakuin                 	805	5
2161	1577	Mouriño, Ariel                     	La Legión TDM                 	805	5
2162	1660	Lopez, Ariel Orlando               	Alvear Club                   	805	5
2163	3430	Romero, Agustin                    	Lourdes                       	805	5
2164	1171	Castro, Pablo                      	Libre                         	804	5
2165	1421	Braile, Santiago                   	Ingeniero Acosta              	804	5
2166	1525	Eustaquio, Leonel                  	Tigre TDM                     	804	5
2167	1704	Alanis, Jonathan                   	Peretz                        	804	5
2168	2595	Torres, Sebastian                  	Fenix                         	804	5
2169	4232	Tula Perez, Julian                 	Nikkei TDM                    	804	5
2170	1219	Izquierdo, Leandro                 	Libre                         	803	5
2171	2566	Vidal, Vicente                     	Libre                         	803	5
2172	2983	Parinelli, Jesus                   	Boca Juniors                  	803	5
2173	3328	Fares, Hernan G.                   	Social Club TDM               	803	5
2174	1336	Perez, Jorge Alberto               	Lourdes                       	802	5
2175	1377	Alem, Nicolás                      	Lourdes                       	802	5
2176	1595	Vernillo, Sergio                   	Adrogue Sith Spin             	802	5
2177	1869	Dondovich, María                   	La Legión TDM                 	802	5
2178	2274	Arzuaga, Leonardo G                	TMR                           	802	5
2179	1225	Baroffio, Sergio                   	Peñarol                       	801	5
2180	1609	Astoreli, Guido                    	Tigre TDM                     	801	5
2181	1613	Kanonicz, Facundo                  	Macabi                        	801	5
2182	1617	Dim, Brian                         	Peñarol                       	801	5
2183	1627	Torres, Benjamín                   	Libre                         	801	5
2184	935	Carnerero, Gustavo Javier          	Ferrocarril Oeste             	800	5
2185	2787	Fior, Santiago Danilo              	Ferrocarril Oeste             	800	5
2186	3312	Pino, Santiago D.                  	GTM                           	800	5
2187	3325	Maciel, Ignacio                    	Oeste TDM                     	800	5
2188	3332	Chou, Chung Tai                    	Zenit                         	800	5
2189	3397	Ursini, Sergio Norberto            	Peretz                        	800	5
2190	3474	Combessies, Mariano                	Libertad                      	800	5
2191	3481	Romero, Sergio                     	Intendente Agüero             	800	5
2192	3494	Simon, Ernesto                     	Estacion Ping Pong            	800	5
2193	3511	Aprile, Daniel                     	Club Urquiza                  	800	5
2194	3516	Estevez, Mateo                     	Tigre TDM                     	800	5
2195	3645	Saulo, Matias                      	Asoc. Jap. Burzaco            	800	5
2196	3945	Nieva, Matias                      	TMR                           	800	5
2197	3961	Romeu,  Tomas                      	TMR                           	800	5
2198	3974	Roquel, Matias E.                  	Def. Santos Lugares           	800	5
2199	974	Ocampos, Fidel                     	CEDIMA                        	799	5
2200	1192	Stivala, Lucas                     	Ferrocarril Oeste             	799	5
2201	1349	Amuy, Diego                        	Libre                         	799	5
2202	2219	Lacapra, Rodrigo                   	Intendente Agüero             	799	5
2203	2322	Ercolano, Marcelo                  	Peñarol                       	799	5
2204	1867	Hao, Hailong                       	La Legión TDM                 	799	5
2205	2003	Mendez, Maitena Nerea              	Ateneo de Versailles          	799	5
2206	1240	Vazquez, Matías Nicolás            	Peñarol                       	798	5
2207	1321	Urquiza, Gastón                    	Gral. Sarmiento               	798	5
2208	1407	Buscalia, Marcos                   	Libre                         	798	5
2209	1409	Kuperman, Axel                     	Macabi                        	798	5
2210	1482	Ponce, Simón                       	Fenix                         	798	5
2211	1931	Pisano, Ariel                      	Ateneo de Versailles          	798	5
2212	2945	Pregliasco, Brian                  	Tigre TDM                     	798	5
2213	3864	Casaux, Benjamin                   	Ferrocarril Oeste             	798	5
2214	4155	Matsuyoshi                         	Nikkei TDM                    	798	5
2215	1603	Nupieri, Sofía                     	River Plate                   	798	5
2216	946	Tsunoda, Valentina                 	Gimnasty                      	797	5
2217	1064	Silombra, Ezequiel                 	TMR                           	797	5
2218	1909	Lattanzi, Luis                     	Arg Takkyu                    	797	5
2219	2413	Ono, Rumy                          	Nichia Gakuin                 	797	5
2220	3597	Soria, Alejandro                   	Asoc. Jap. Burzaco            	797	5
2221	926	Romero, Rogelio                    	CEDIMA                        	796	5
2222	1121	Tuma, Roberto                      	Peñarol                       	796	5
2223	1253	Lan, Guillermo                     	Libre                         	796	5
2224	1567	Heis, Juan                         	Padilla                       	796	5
2225	1798	Nuñez, Nazareno                    	Lourdes                       	796	5
2226	1946	Barduncier, Guillermo              	CEDIMA                        	796	5
2227	3708	Nuñez Fernandez, Santiago          	Tigre TDM                     	796	5
2228	621	Wilson, Ignacio                    	Libre                         	795	5
2229	1472	Chade, Octavio                     	Fenix                         	795	5
2230	1608	Werthamer, Pablo                   	Atlanta                       	795	5
2231	1639	Benitez, Agustín                   	Zenit                         	795	5
2232	1810	Herrera, Martín                    	Peñarol                       	795	5
2233	2697	Riquelme, Joaquin L.               	Libertad                      	795	5
2234	3930	Areco, Mauricio G.                 	Circulo Campano               	795	5
2235	4459	Vaisman Tello, Otto A.             	GTM                           	795	5
2236	3593	Conci, Rodolfo H                   	Arg Takkyu                    	795	5
2237	745	Rossello, Gastón                   	Ferrocarril Oeste             	794	5
2238	835	Martinez, Ricardo                  	Libre                         	794	5
2239	917	Carrillo, Lucas                    	Rioja                         	794	5
2240	1397	Mel, Matías                        	Padilla                       	794	5
2241	1675	Levy, Pablo Adrián                 	Top Minc                      	794	5
2242	1947	Barduncier, Néstor                 	CEDIMA                        	794	5
2243	4476	Lopez Auat, Malena                 	Boca Juniors                  	794	5
2244	1048	Mansi, Matías José                 	Peñarol                       	793	5
2245	1200	Deraco, Julián                     	Peñarol                       	793	5
2246	1572	Zlotogwiazda, Matías               	Libre                         	793	5
2247	1806	Petenatti, Jeremías                	Peñarol                       	793	5
2248	345	Cevallos, Iván                     	Spin TDM                      	792	5
2249	1022	Ramirez, Roberto                   	Lourdes                       	792	5
2250	1027	Paletta, Marcelo                   	Nikkei TDM                    	792	5
2251	1089	Zabala, Martín                     	Libre                         	792	5
2252	1179	Orsi, Fabián                       	Adrogue Sith Spin             	792	5
2253	3973	Espinar, Agustin F.                	Def. Santos Lugares           	792	5
2254	4371	Laurito, Santiago                  	La Mesita                     	792	5
2255	637	Romero, Damián                     	TMR                           	791	5
2256	959	Guarino, Mariano                   	Peñarol                       	791	5
2257	1197	Completa, Alan                     	Libre                         	790	5
2258	1388	Paz, Pablo                         	Peñarol                       	790	5
2259	1405	Fronzini, Sergio                   	Adrogue Sith Spin             	790	5
2260	1814	Mauas, Uriel                       	CTDM Nizetich                 	790	5
2261	1914	Ferrari, Guido                     	Club Urquiza                  	790	5
2262	3419	Diaz, Juan Pablo                   	TMR                           	790	5
2263	2052	Santostefano, Marcelo              	Tigre TDM                     	790	5
2264	3470	Lopez, Rodrigo                     	Asoc. Yabrudense              	790	5
2265	646	Butvilofsky, Carlos                	Libre                         	789	5
2266	779	Bravo Tedesco, Bruno               	Libre                         	789	5
2267	1082	De Lucca, Pablo                    	Gimnasty                      	789	5
2268	1599	Hohendahl, Nicolás                 	Libre                         	789	5
2269	1725	Zurita, Luciano                    	Libre                         	789	5
2270	1939	Gabriel, Max                       	Peñarol                       	789	5
2271	2569	Riquelme, Francisca                	Libre                         	789	5
2272	3599	Miño, Angel                        	Tigre TDM                     	789	5
2273	1224	Perez, Ian                         	Peñarol                       	788	5
2274	1232	Kato, Midori                       	Nichia Gakuin                 	788	5
2275	1366	Olmedo, Jésica                     	Lourdes                       	788	5
2276	1856	Scrosoppi, Elian                   	Arg Takkyu                    	788	5
2277	1910	Espinosa, Leandro Martín           	Libre                         	788	5
2278	3363	Losada Bernal, Luis Fernando       	River Plate                   	788	5
2279	775	Flores, Eduardo                    	Peñarol                       	787	5
2280	1220	Rege, Nahuel                       	Libre                         	787	5
2281	1226	Traversaro, Marcelo                	Peñarol                       	787	5
2282	1227	Funes, Lucas                       	Peñarol                       	787	5
2283	1520	Braunstein, Julieta                	Arg Takkyu                    	787	5
2284	3738	Quiroga, Edgardo Roberto           	CASA de Padua                 	787	5
2285	3515	Falcon, Francisco                  	Tigre TDM                     	787	5
2286	3390	Chavez, Luca                       	Oeste TDM                     	786	5
2287	1217	Sabarros, Renzo                    	Libre                         	785	5
2288	1231	Aguilera, Nicolás Ezequiel         	Peñarol                       	785	5
2289	1413	Ubeda, Carlos                      	Libre                         	785	5
2290	1700	Letona, Jorge                      	Def. Santos Lugares           	785	5
2291	1779	Malvar, Matías                     	U.V.V.A.                      	785	5
2292	1807	Gugliotta, Francisco               	Ferrocarril Oeste             	785	5
2293	1888	Bologna, Julián                    	Peretz                        	785	5
2294	4060	Aguirre, Joaquin                   	Alvear Club                   	785	5
2295	564	Gomez, María                       	Nichia Gakuin                 	784	5
2296	666	Garro, Pablo Fernando              	Intendente Agüero             	784	5
2297	673	Marroquin, Marcos                  	Libre                         	784	5
2298	1003	Campagnolo, Andrés                 	Intendente Agüero             	784	5
2299	1297	Gomez Camacho, Micaela             	Padilla                       	784	5
2300	1591	Gonzalez, Pedro                    	Libre                         	784	5
2301	1592	Chakerian, Guido                   	Libre                         	784	5
2302	1614	Luski, Ian                         	Macabi                        	784	5
2303	3392	Lemir, Franco                      	River Plate                   	784	5
2304	4130	Rosental Manteola, Milo            	GTM                           	784	5
2305	4213	Saloña Ugone, Nahuel               	La Legión TDM                 	784	5
2306	841	Beserman, Pablo                    	Macabi                        	783	5
2307	1169	Trombino, Diego                    	Libre                         	783	5
2308	1416	Amoretti, Ignacio                  	Gimnasty                      	783	5
2309	1736	Mato, Mariano                      	Club Urquiza                  	783	5
2310	1816	Gomes, Max                         	Peñarol                       	783	5
2311	1978	Hauszpigiel, Ariel                 	Libre                         	783	5
2312	4063	Bravo Copacava, Pablo              	Libre                         	783	5
2313	644	Gonzalez, Misael                   	Lourdes                       	782	5
2314	817	Zanuy, Gabriela                    	Libre                         	782	5
2315	1401	Coelli, Agustín                    	Libre                         	782	5
2316	1589	Ramirez, Agustín                   	TMR                           	782	5
2317	1906	Cararo, Franco                     	GTM                           	782	5
2318	2570	Tapia, Jareth                      	Libre                         	782	5
2319	375	Makishi, Marta                     	CEDIMA                        	781	5
2320	1157	Salerno, Miguel                    	TMR                           	781	5
2321	1604	Zhang, Federico                    	Libre                         	781	5
2322	1703	Alzogaray, Cristian                	CTDM Nizetich                 	781	5
2323	4298	Medina, Matheo                     	Libre                         	781	5
2324	1062	Garcia, Matías                     	Libre                         	780	5
2325	3946	Perez, Mirna A.                    	Studio Ping Pong              	780	5
2326	574	Gil, Pedro                         	Peñarol                       	779	5
2327	704	Perez, Kevin                       	Intendente Agüero             	779	5
2328	1772	Sosa, Gaspar                       	Libre                         	779	5
2329	1773	Scarabela, Sol                     	Libre                         	779	5
2330	2465	Defferrari, Humberto               	CEDIMA                        	779	5
2331	2539	Convertini, Juliana                	Top Minc                      	779	5
2332	3894	Rodriguez Montanari, Lucas         	Fenix                         	779	5
2333	4018	Jamilis, Eliel Dan                 	Sociedad Hebraica             	779	5
2334	707	Cataldo, Nicolás                   	Intendente Agüero             	778	5
2335	803	German, Mariano                    	Macabi                        	778	5
2336	1222	Sarquis, Elias                     	Fulgor Villa Crespo           	778	5
2337	1376	Martinez, Ezequiel                 	Peñarol                       	778	5
2338	1811	Vernillo, Dante                    	Adrogue Sith Spin             	778	5
2339	2342	Fiorda, Jonathan                   	La Legión TDM                 	778	5
2340	2409	Weiss, Alejandro                   	La Legión TDM                 	778	5
2341	3625	Reggiardo, Carolina                	Peretz                        	778	5
2342	1118	Ramos, Ivana                       	Libre                         	777	5
2343	1419	Lizalde, Facundo                   	Ingeniero Acosta              	777	5
2344	1597	Lugones, Maximiliano               	Libre                         	777	5
2345	1711	Enriquez, Ariel                    	Libre                         	777	5
2346	1813	Reda, Sergio                       	CTDM Nizetich                 	777	5
2347	1907	Nuñez, Matías                      	Libre                         	777	5
2348	3553	Szwarc Winnik, Ezequiel            	Atlanta                       	777	5
2349	4616	Caro Ruiz, Benjamin                	Top Minc                      	777	5
2350	236	Rodgers, Matías                    	ONG Volver a Jugar            	776	5
2351	665	Dimiero, Jorge                     	San Lorenzo                   	776	5
2352	1111	Gonzalez, Ariel                    	Libre                         	776	5
2353	1420	Lucchesi, Iván                     	Ingeniero Acosta              	776	5
2354	2694	Garcete, Roberto                   	Libre                         	776	5
2355	2696	Ranno Farias, Alex C.              	Circulo Campano               	776	5
2356	4134	Fernandez, Marcelo R.              	Ateneo de Versailles          	776	5
2357	3050	Maldonado, Martin                  	La Legión TDM                 	776	5
2358	1976	Waserman, Sergio                   	Ateneo de Versailles          	775	5
2359	2255	Padin, Julieta                     	La Legión TDM                 	775	5
2360	2289	Akizawa, Clelia F                  	GTM                           	775	5
2361	2645	Jmelnizky, Rafi                    	Macabi                        	775	5
2362	3898	Samsolo, Julian                    	Atlanta                       	775	5
2363	4805	Pollini, Emiliano                  	Alvear Club                   	775	5
2364	1005	Leone, Mariano                     	Padilla                       	774	5
2365	2211	Martinez, Abril                    	Ateneo de Versailles          	774	5
2366	3318	Aguirre, Julio Ricardo             	GTM                           	774	5
2367	1178	Iriazabal, Cristian                	Asoc. Yabrudense              	773	5
2368	1184	Chao, Julio                        	Libre                         	773	5
2369	1310	Diaz Bordon, Federico              	TMR                           	773	5
2370	1343	Franco, Nicolás                    	TMR                           	773	5
2371	1373	Bobryk, Pedro                      	Rioja                         	773	5
2372	1443	Campillo, Franco                   	Oeste TDM                     	773	5
2373	1605	Gonzalez, Franco Esteban           	TMR                           	773	5
2374	2336	Russo, Emiliano                    	Padilla                       	773	5
2375	4073	Di Toro, Giuliano                  	Peretz                        	773	5
2376	1783	Malga, Gastón                      	Peñarol                       	772	5
2377	344	Mercado, Silvia (f)                	Rioja                         	771	5
2378	668	Gonzalez, Ariel                    	Peñarol                       	771	5
2379	711	Mendoza, Sergio                    	Rioja                         	771	5
2380	1103	Riveira, Esteban                   	Libre                         	771	5
2381	1106	Lux, Bjoern                        	Libre                         	771	5
2382	1312	Gorojovsky, Miguel                 	Padilla                       	771	5
2383	1327	Rodriguez, Lucía                   	Libre                         	771	5
2384	1538	Buttazzoni, Tomás Agustín          	Tigre TDM                     	771	5
2385	1585	Alguacil, Roy                      	Libre                         	771	5
2386	3286	Osquiguil, Lucas                   	Fulgor Villa Crespo           	771	5
2387	3794	Lozada, Lucas                      	ONG Volver a Jugar            	771	5
2388	3825	Lovera, Mainor Jose                	Spin TDM                      	771	5
2389	965	Camargo, Leandro                   	TMR                           	770	5
2390	1590	Kaufman, Mijael                    	Macabi                        	770	5
2391	2076	Monge, Paloma                      	Bar Ping Pong NTE             	770	5
2392	3566	Etcheverry, Martin                 	Nikkei TDM                    	770	5
2393	814	Usatinsky, Fernando                	Libre                         	769	5
2394	1182	Gutman, Uriel                      	Libre                         	769	5
2395	1292	Rojas, Matías                      	Macabi                        	769	5
2396	1337	Algarañaz, Alberto                 	Rioja                         	769	5
2397	1809	Lebas, Gastón                      	Adrogue Sith Spin             	769	5
2398	2054	Fontana, Nicolas Damian            	Tigre TDM                     	769	5
2399	1606	Romero, Franco                     	Libre                         	768	5
2400	2077	Rojas, Hugo                        	Banco Nacion                  	768	5
2401	2285	Nakankare, Agustina                	Nichia Gakuin                 	768	5
2402	2611	Cobanera, Franco                   	Intendente Agüero             	768	5
2403	4469	Zapatero, Carina A.                	El Galpong                    	768	5
2404	4129	Sarzynksi, Enzo                    	GTM                           	768	5
2405	1254	Beltran, Norman                    	Libre                         	767	5
2406	1364	Paz, Sergio                        	Circulo Campano               	767	5
2407	1778	Yancarelli, Nahuel                 	Libre                         	767	5
2408	3448	Carro, Nahuel A.                   	Lourdes                       	767	5
2409	3760	Romero, Thiago M.                  	CEDIMA                        	767	5
2410	4160	Colmenarez, Audio                  	Top Minc                      	767	5
2411	1734	Castria, Mariano                   	Club Urquiza                  	766	5
2412	1776	Molina, Agustín                    	Libre                         	766	5
2413	1777	Testa, Emilio                      	Libre                         	766	5
2414	1780	Di Stefano, Iván                   	San Lorenzo                   	766	5
2415	2012	Tapia, Alexis                      	La Legión TDM                 	766	5
2416	2424	Chocobar, Gaston                   	Social Club TDM               	766	5
2417	3559	Cosentino, Gustavo                 	Bar Ping Pong NTE             	766	5
2418	4308	Rodriguez, Santiago                	Gimnasty                      	766	5
2419	4402	Quiroga Montenegro, Luka           	CASA de Padua                 	766	5
2420	968	Minassian, Carlos                  	Intendente Agüero             	765	5
2421	970	Valenzuela, Alexis                 	CEDIMA                        	765	5
2422	2556	Baldassarri, Agustin               	Libre                         	765	5
2423	1167	Schiuma, Flavio                    	Rioja                         	764	5
2424	1402	Slipak, Damián                     	Libre                         	764	5
2425	1919	Callaba, Ricardo                   	Gimnasty                      	764	5
2426	4310	Di Cocco, Guido                    	Rioja                         	764	5
2427	2829	Buono, Carla Cecilia               	Asoc. Yabrudense              	763	5
2428	4245	Ramirez, Francisco                 	Libertad                      	763	5
2429	1177	Blanco, Rafael                     	GTM                           	762	5
2430	1378	Mancini, Axel                      	Lourdes                       	762	5
2431	1787	Marabi, Roni                       	Adrogue Sith Spin             	762	5
2432	2688	Rodriguez, Jorge                   	TMR                           	762	5
2433	3484	Di Giorgio, Pablo                  	Ferrocarril Oeste             	762	5
2434	3652	Exposito, Damian A                 	Club Italiano JCPaz           	762	5
2435	3716	Moyano Kozak, Gaston               	Nikkei TDM                    	762	5
2436	701	Orfila, Fernando                   	Intendente Agüero             	761	5
2437	1170	Ladizesky, Pablo                   	La Legión TDM                 	761	5
2438	1173	Echevere, Lautaro                  	Libre                         	761	5
2439	1794	Cuomo, Julián                      	Fenix                         	761	5
2440	1848	Fernandez A., Ignacio              	Libre                         	761	5
2441	2870	Limonta Martinez, Jesus S.         	River Plate                   	761	5
2442	1258	Rodriguez, Rodolfo                 	Libre                         	760	5
2443	1356	Mansilla, Diulio                   	Peñarol                       	760	5
2444	2928	Abatangelo, Nicolas                	Peretz                        	760	5
2445	4304	Sora Diaz, Fabian E.               	Bar Ping Pong NTE             	760	5
2446	1586	Scian, Gustavo                     	Lourdes                       	759	5
2447	1916	Evers, Alberto                     	Nichia Gakuin                 	759	5
2448	2195	Cesaretti, Daniel                  	Arg Takkyu                    	759	5
2449	2216	Billalba, Sebastián                	Oeste TDM                     	759	5
2450	3055	Serra Schoppe, Ariel I.            	Atlanta                       	759	5
2451	4532	Gass, Julian                       	Bar Ping Pong NTE             	759	5
2452	1329	Lopez, Alejandro Sebastián         	Libre                         	758	5
2453	1836	Kalejman, Eduardo                  	GTM                           	758	5
2454	1849	Sella, Darío                       	Libre                         	758	5
2455	1983	Lambert, Gustavo Rubén             	Ferrocarril Oeste             	758	5
2456	1040	Sierpe, Antonella                  	Ferrocarril Oeste             	757	5
2457	1181	Djemdjemian, Bruno                 	Peñarol                       	757	5
2458	1512	Levy, Uriel                        	Macabi                        	757	5
2459	1697	Garrido, Mónica                    	Rioja                         	757	5
2460	1896	Coronado Moreno, Daniel            	Libre                         	757	5
2461	2046	Goldenberg, Federico               	Top Minc                      	757	5
2462	3907	Boada, Luis                        	GTM                           	757	5
2463	924	Muzzo, Walter                      	CEDIMA                        	756	5
2464	1235	Namba, Serena                      	Nichia Gakuin                 	756	5
2465	2248	Ambach, Leandro                    	Macabi                        	756	5
2466	2681	Gomez, Javier Alberto              	Social Club TDM               	756	5
2467	2783	Sagastume Kohn, Ariel              	River Plate                   	756	5
2468	1333	Zavaglia, Matías                   	Libre                         	755	5
2469	1808	Flores, Javier                     	Club Urquiza                  	755	5
2470	3694	Kerber, Ezequiel                   	Atlanta                       	755	5
2471	4521	Cericola, Dante                    	GTM                           	755	5
2472	1843	Demollein, Martín                  	Adrogue Sith Spin             	754	5
2473	1898	Gerchikovich, Milton               	La Legión TDM                 	754	5
2474	1903	Rojas, Marcelo                     	Libre                         	754	5
2475	1977	Espinosa, Juan Ignacio             	La Legión TDM                 	754	5
2476	3306	Arancibia, Eduardo                 	TMR                           	754	5
2477	1659	Tonelli, Matías                    	U.V.V.A.                      	753	5
2478	2710	Mendez, Matias C.                  	River Plate                   	753	5
2479	3785	Zain, Gonzalo                      	Ferrocarril Oeste             	753	5
2480	2592	Diaz, Fernando                     	Top Minc                      	753	5
