pos	id	jugador	club	puntos	categoria
220	2396	Aguilar, Cruz Elyana               	CEDIMA                        	1905	1
221	793	Perez, Candela                     	Peretz                        	1901	1
222	3838	Pareja Carrasco, Juan David        	Padilla                       	1901	1
223	3467	Polo Canesin, Nicolas              	CTDM Nizetich                 	1900	1
224	4826	Rodriguez, Bryan                   	Alvear Club                   	1900	1
225	1745	Pereyra, Hugo                      	Nichia Gakuin                 	1895	1
226	1751	Jang, Agustín                      	Ferrocarril Oeste             	1893	1
227	2555	Morsino, Nicolas                   	Tigre TDM                     	1893	1
228	2920	Joszpe, Santiago                   	Ferrocarril Oeste             	1890	1
229	889	Krowicki, Nahuel                   	Intendente Agüero             	1888	1
230	277	Perez, Hernán                      	El Galpong                    	1887	1
231	2242	Ding, Divina                       	Ferrocarril Oeste             	1887	1
232	2734	Olmos, Agustin                     	Inst.Atlet. Cultural          	1885	1
233	2931	Perez, Camila D.                   	Fenix                         	1880	1
234	696	Bellusci, Pablo                    	Fenix                         	1874	1
235	609	Fernandez Justo, Axel              	UCA Marash Argentina          	1873	1
236	531	Loiseau, Alain                     	El Galpong                    	1872	1
237	38	Mon, Hernán                        	Alvear Club                   	1869	1
238	1212	Castro, Mauricio                   	Libre                         	1866	1
239	1886	Huergo, Maximiliano Román          	Nichia Gakuin                 	1865	1
240	782	Marginet Campos, Alejandro         	GTM                           	1865	1
241	156	Beloqui, Ramón                     	River Plate                   	1860	1
242	1016	Strehl, Matías                     	Libre                         	1854	1
243	2692	Albanese, Juan Manuel              	River Plate                   	1851	1
244	1770	Roitman, Oscar                     	Nichia Gakuin                 	1848	1
245	1340	Huici, Julián                      	U.V.V.A.                      	1845	1
246	2065	Lopez Sanchez, Francisco Jose      	CEDIMA                        	1841	1
247	2304	Buscema, Milton                    	Alvear Club                   	1837	1
248	3049	Marcial, Alma G.                   	Alvear Club                   	1836	1
249	836	Ponieman, Félix                    	River Plate                   	1831	1
250	44	Valdez, Eduardo                    	Alvear Club                   	1830	1
251	3036	Rondon, Elis                       	Padilla                       	1830	1
252	4461	Maggi, Sebastian                   	Ferrocarril Oeste             	1830	1
253	3712	Sclar, Matias                      	Alvear Club                   	1830	1
254	35	Arroyo, Hernán                     	TMR                           	1829	1
255	412	Salazar, Ramón                     	Estacion Ping Pong            	1828	1
256	535	Alzate, Camilo                     	Libre                         	1828	1
257	3084	Azzurro, Ignacio                   	Gimnasty                      	1827	1
258	86	Rossi, Nicolás                     	Rioja                         	1826	1
259	1148	Almiron, Esteban                   	El Galpong                    	1824	1
260	1339	Duran, Andrés                      	UBA Exactas                   	1824	1
261	1640	Coria, Lautaro                     	Zenit                         	1822	1
262	1895	Samaja, Facundo                    	River Plate                   	1822	1
263	4638	Ryzhov, Anatolii                   	Bar Ping Pong NTE             	1820	1
264	142	Epsztein, Leonardo                 	Atlanta                       	1816	1
265	873	Arenas, Ezequiel                   	Intendente Agüero             	1814	1
266	589	Morales, Alex                      	Gimnasty                      	1808	1
267	1263	Lago, Pablo                        	Libre                         	1808	1
268	1729	Strah, Juan Pablo                  	Lourdes                       	1806	1
269	944	Kenji Kamida, Diego                	Alvear Club                   	1806	1
270	2779	Carattoli, Matias J.               	Ateneo de Versailles          	1806	1
271	3876	Vilte Bosch, Fernan                	Circulo Campano               	1803	1
272	2793	Lima, Facundo                      	Libre                         	1800	1
273	2832	Matlin, Federico Jose              	Atlanta                       	1800	1
274	3970	Azcoaga Puyo, Alejandro            	UCA Marash Argentina          	1800	1
275	4788	Janer, Fabricio                    	Libre                         	1800	1
276	1204	Marchese, Ignacio                  	Zenit                         	1797	1
277	190	Ortega, Maximiliano                	CAVA                          	1793	1
278	4787	Guiñazu Juarez, Ivo                	Libre                         	1792	1
279	8	Szlit, Joel                        	Alvear Club                   	1791	1
280	1288	Puerta, Alejandro                  	Oeste TDM                     	1791	1
281	4001	Kosmata, Phil                      	River Plate                   	1789	1
282	957	Romero, Elias                      	CEDIMA                        	1787	1
283	611	Bellusci, Nicolás                  	Padilla                       	1786	1
284	2067	Achaval, Joaquin                   	Nikkei TDM                    	1783	1
285	2437	Lescano, Ramiro                    	Boca Juniors                  	1781	1
286	483	Perez Colman, Imanol               	Banco Nacion                  	1779	1
287	10	Szneiberg, Hernán                  	Alvear Club                   	1778	1
288	3358	La Boccetta, Ignacio               	Peretz                        	1777	1
289	3345	Sanchez, Martin C.                 	Ateneo de Versailles          	1770	1
290	602	Moralejo, Fabián                   	CAVA                          	1768	1
291	145	Rivero, Miguel                     	San Lorenzo                   	1760	1
292	3083	Batista, Valentina                 	Libre                         	1759	1
293	3370	Martinez, Victor                   	Asoc. Yabrudense              	1759	1
294	150	Kim, Hae Ja                        	River Plate                   	1758	1
295	1738	Darcyl, Leonardo                   	Padilla                       	1756	1
296	1431	Frezza, Leonardo                   	TMR                           	1755	1
297	3717	Fernandez Arevalo, Mariano         	Nikkei TDM                    	1754	1
298	143	Levisman, Gustavo                  	Alvear Club                   	1752	1
299	4535	Martinez, Tobias                   	GTM                           	1751	1
300	1870	Martinez Tapia, José Manuel        	CEDIMA                        	1750	1
301	592	Bragado, Matías                    	CAVA                          	1747	1
302	1338	Micheli, Luis                      	Ferrocarril Oeste             	1747	1
303	153	Piras, Roberto                     	Fenix                         	1743	1
304	1672	Notturno, Nicolas                  	TMR                           	1741	1
305	3750	Sculco, Nahuel	Nikkei TDM                    	1741	2
306	146	Nagata, Sebastián                  	Libre                         	1739	2
307	2563	Paredes, Bryan                     	Libre                         	1735	2
308	582	Rodriguez, Cristian                	Rioja                         	1732	2
309	381	Iwasa, Nicolás                     	Ferrocarril Oeste             	1727	2
310	478	Quagliardi, Hugo Franco            	GTM                           	1727	2
311	1315	Navarro, Ian                       	CASA de Padua                 	1727	2
312	1949	Brusco, Agustín                    	Libre                         	1725	2
313	104	Correas Espeche, Ezequiel          	Rioja                         	1723	2
314	144	Moleda, Damián                     	Libre                         	1718	2
315	3376	Villarroel, Franco                 	Libre                         	1717	2
316	624	Quintana, Lucas                    	Lourdes                       	1716	2
317	3602	Bianchini, Nicolas                 	Banco Nacion                  	1715	2
318	1285	Puerta, Walter                     	Oeste TDM                     	1714	2
319	2058	Lamazon, Gustavo Gabriel           	CAVA                          	1714	2
320	581	Gonzalez, Paulina                  	Alvear Club                   	1713	2
321	489	Guassardo, Paulo                   	Def. Santos Lugares           	1711	2
322	2376	Ferreyra, Luis Alberto             	Fenix                         	1711	2
323	699	Migueles, Patricio                 	Nikkei TDM                    	1709	2
324	1507	Hurtado, Franco                    	San Lorenzo                   	1709	2
325	23	Ibarra, Fernando                   	San Lorenzo                   	1708	2
326	221	Maehama, Federico                  	Arg Takkyu                    	1707	2
327	559	Chaible, René                      	Libre                         	1707	2
328	519	San Millan, Federico               	Rioja                         	1705	2
329	1757	Okuyama, Abril                     	Asoc. Jap. Burzaco            	1705	2
330	2015	Lori, Hikaru                       	GTM                           	1705	2
331	159	Yonamine, Matías                   	Libre                         	1704	2
332	1264	Mastropietro, Juan                 	Libre                         	1704	2
333	733	Nakandakare, Isao                  	Libre                         	1700	2
334	1056	Perez, Lucas                       	Fenix                         	1697	2
335	2718	Dorigoni, Enzo                     	Libertad                      	1696	2
336	34	Fazio, Agustín                     	Libre                         	1693	2
337	2621	Riback, Tobias                     	Macabi                        	1692	2
338	2215	Pokorny, Solange                   	Nichia Gakuin                 	1689	2
339	2796	Quiroz, Arny Alberto               	Social Club TDM               	1689	2
340	976	Leybovich, Guillermo               	Asoc. Yabrudense              	1686	2
341	550	Oppezzo, Sebastián                 	River Plate                   	1685	2
342	2622	Santos Lima, Roberto               	La Legión TDM                 	1685	2
343	1528	Escobar, Carlos                    	Peñarol                       	1679	2
344	22	Candela, Martín                    	Fenix                         	1678	2
345	748	Lotito, Tomás                      	Libre                         	1678	2
346	3361	Fragapane, Leonardo Nicolas        	Nichia Gakuin                 	1678	2
347	24	Florentin, Victor                  	Peretz                        	1677	2
348	1322	Gorrostorrazo, Iván                	Libre                         	1676	2
349	2823	Fragapane, Isabella                	Nichia Gakuin                 	1675	2
350	3565	Di Girolamo, Bruno                 	Fenix                         	1675	2
351	1654	Felscher, Jonathan                 	Padilla                       	1674	2
352	1928	Martire, Emiliano                  	Circulo Campano               	1674	2
353	3303	Müller, Daniel                     	La Legión TDM                 	1674	2
354	16	Koatz, Pablo                       	Peretz                        	1671	2
355	2503	Rosen, Franco                      	La Legión TDM                 	1669	2
356	515	Tiercin, Gonzalo                   	Atlanta                       	1669	2
357	1261	Gestido, Martín                    	Libre                         	1663	2
358	1002	Sanchez, Javier                    	Libre                         	1662	2
359	1262	Sierra, Agustín                    	Libre                         	1662	2
360	4368	Nikitin, Evgeny                    	Ferrocarril Oeste             	1661	2
361	147	Nemoto, Guillermo                  	River Plate                   	1659	2
362	1271	Tula, Ricardo                      	Nikkei TDM                    	1658	2
363	1763	Passera, Santiago                  	Top Minc                      	1658	2
364	1154	Dirito, Siro                       	Fenix                         	1657	2
365	2958	Guillen Ramirez, Jose A.           	Boca Juniors                  	1657	2
366	47	Barr, Eduardo                      	CAVA                          	1656	2
367	262	Harima, Maia                       	Libre                         	1656	2
368	1216	Beloqui, Marcio                    	Libre                         	1655	2
369	3601	Bianchini, Ignacio                 	TMR                           	1655	2
370	1151	Rizzo, Juan                        	San Lorenzo                   	1653	2
371	1781	Aguirre, Daniel                    	La Legión TDM                 	1653	2
372	3658	Castagnola, Cristian A.            	Rioja                         	1653	2
373	4568	Crimaldi, Francisco                	Alvear Club                   	1651	2
374	1921	Palazzo, Didier                    	Ateneo de Versailles          	1651	2
375	467	Kiersenblat, Martín                	Libre                         	1650	2
376	558	Dragas, Zeljka                     	Libre                         	1650	2
377	1098	Silva Castillo, Luciano            	Padilla                       	1649	2
378	692	Tissenbaum, Santiago               	UCA Marash Argentina          	1646	2
379	3568	Chirino, Maria Florencia           	Asoc. Yabrudense              	1644	2
380	1035	Beltran, Nicolás                   	Fulgor Villa Crespo           	1640	2
381	532	Garcia, Ana María                  	Libre                         	1639	2
382	1441	Rodriguez, Facundo                 	Libre                         	1635	2
383	2565	Pareja, Carlos                     	Libre                         	1635	2
384	1053	Luna, Fernando                     	TMR                           	1630	2
385	382	Acuña, Luis                        	Arg Takkyu                    	1627	2
386	962	Escude, Horacio                    	Ingeniero Acosta              	1627	2
387	1840	Sanabria, Oscar                    	GTM                           	1626	2
388	3604	Poza, Tomas                        	Banco Nacion                  	1624	2
389	2180	Velazquez, Bruno                   	CEDIMA                        	1623	2
390	963	Perez, Alejandro                   	CEDIMA                        	1621	2
391	1061	Rossi, Mauro                       	CPCN Villa Gesell             	1618	2
392	1473	Satriani, Genaro                   	Ferrocarril Oeste             	1618	2
393	3374	Marcial, Luca Valentino            	Alvear Club                   	1618	2
394	2063	Poza, Franco                       	Libre                         	1617	2
395	2064	Peralta, Lucas                     	Libre                         	1614	2
396	2982	Parinelli, David                   	Boca Juniors                  	1614	2
397	1664	Ence, Marcos Emmanuel              	Inst.Atlet. Cultural          	1613	2
398	2623	Aburachid Auad, Luiz G.            	La Legión TDM                 	1613	2
399	663	Bertran, Ezequiel                  	GTM                           	1613	2
400	77	Aguirre, Sebastián                 	Arg Takkyu                    	1611	2
401	503	Mazzoni, Germán (F)                	Libre                         	1610	2
402	1019	Ametrano, Lucas                    	Libre                         	1609	2
403	4074	Maciel, Fabricio                   	Libre                         	1609	2
404	3603	Simoiz, Enzo                       	Top Serrano                   	1603	2
405	3274	Mayer, Lisa Marie                  	River Plate                   	1602	2
406	903	Sosa Torales, Enzo                 	Oeste TDM                     	1601	2
407	201	Pighini, Pablo                     	TMR                           	1600	2
408	2875	Soria Castillo, Tomas M.           	Fenix                         	1600	2
409	4596	Luquez, Gaston                     	Boca Juniors                  	1600	2
410	1696	Rosito, Pablo                      	Tigre TDM                     	1599	2
411	2632	Arasme, Yamileth                   	Alvear Club                   	1599	2
412	100	Dorado, Matías                     	Tigre TDM                     	1597	2
413	151	Benitez, Eduardo                   	Ferrocarril Oeste             	1595	2
414	3044	Del Fabro, Franco                  	Libre                         	1595	2
415	3382	Saisi, Tobias                      	Tigre TDM                     	1595	2
416	1679	Vera Ortega, Joaquín               	Tigre TDM                     	1594	2
417	112	Gutierrez, Marcelo                 	Circulo Campano               	1593	2
418	1049	Olmedo, Pablo                      	Lourdes                       	1593	2
419	2264	Medina, Nicolas                    	Nikkei TDM                    	1592	2
420	1985	Avian, Ignacio                     	San Lorenzo                   	1589	2
421	744	Vigolo, Tomás                      	Fenix                         	1587	2
422	577	Garcia, Alan                       	Intendente Agüero             	1582	2
423	2738	Loiacono, Joaquin                  	Alvear Club                   	1578	2
424	1556	Couso, Manuel                      	UCA Marash Argentina          	1577	2
425	3617	Serra, Ignacio                     	Fenix                         	1577	2
426	169	Galeppi, Leonel                    	Libre                         	1575	2
427	441	Grimoldi, Maximiliano              	Nichia Gakuin                 	1574	2
428	1844	Peralta Bello, Tiago               	Gimnasty                      	1574	2
429	1913	Parola, Valentina                  	Macabi                        	1573	2
430	422	Vera, Antonio                      	Libre                         	1572	2
431	1543	Bustillos, Eli                     	CEDIMA                        	1570	2
432	1429	Zuñiga, Rosaura                    	Nichia Gakuin                 	1567	2
433	1229	Kaniuka, Aleksy                    	CEDIMA                        	1567	2
434	1952	Camagna, Diego Andrés              	Fenix                         	1566	2
435	601	Mouhamed, Amir Alexander           	River Plate                   	1563	2
436	1996	Lovera Arteaga, Crismi Paola       	Asoc. Yabrudense              	1563	2
437	719	Avital, Omer                       	Libre                         	1562	2
438	1276	Lemos, Ulises                      	Fenix                         	1561	2
439	3976	Nuñez Bouzi, Alvaro                	GTM                           	1561	2
440	43	Perez, Julián                      	Club Italiano JCPaz           	1560	2
441	2246	Bernasconi, Felipe                 	Fenix                         	1559	2
442	2950	Monteforte, Pablo A.               	Lourdes                       	1559	2
443	3935	Isura, Joaquin                     	Inst.Atlet. Cultural          	1557	2
444	1467	Rotryng Alvarez, Facundo           	Macabi                        	1557	2
