pos	id	jugador	club 	puntos	categoria
107	3471	Flores Canto, Erik                 	San Lorenzo                   	1373	2
108	3664	Ali, Ahmed                         	Alvear Club                   	1373	2
109	4824	Curvelo, Francisco                 	Padilla                       	1362	2
110	2544	Soldi, Juan Andres                 	Gimnasty                      	1357	2
111	3057	Dolcet, Mauro	Lourdes                       	1357	3
112	2785	Erlich, Damian Ariel               	Top Minc                      	1347	3
113	1166	Venancio, Emiliano                 	GTM                           	1345	3
114	4065	Müller, Malik                      	GTM                           	1333	3
115	3902	Khazandjian, Luciano               	Ferrocarril Oeste             	1325	3
116	3800	Bustos, Ivan E.                    	Ateneo de Versailles          	1313	3
117	1893	Mariño, Naomí                      	Alvear Club                   	1295	3
118	3644	Perez, Martin                      	Alvear Club                   	1284	3
119	1006	Rodriguez, Aurelio                 	UCA Marash Argentina          	1283	3
120	1563	Persico, Axel                      	Boca Juniors                  	1265	3
121	3347	Perlov, Lucas                      	Fenix                         	1264	3
122	3669	Rolon, Fernando                    	Asoc. Jap. Burzaco            	1260	3
123	2040	Maeshiro, Kevin                    	Alvear Club                   	1259	3
124	1755	Iwasa, Abril                       	Ferrocarril Oeste             	1253	3
125	1530	Delgado, Gastón                    	GTM                           	1251	3
126	3950	Castañeda Jr., Hugo                	CEDIMA                        	1248	3
127	955	Garcia, Lucas                      	Alvear Club                   	1244	3
128	1281	Wior, Martín                       	Atlanta                       	1237	3
129	3379	Fradkin, Ivan                      	River Plate                   	1237	3
130	1611	Gans, Ignacio                      	Macabi                        	1223	3
131	1992	Baltaian, Leandro Alfredo          	River Plate                   	1222	3
132	2860	Aguilar Ikeda, Justina Mayumi      	River Plate                   	1222	3
133	2535	Duek, Joaquin                      	Macabi                        	1209	3
134	1747	Saul, Felipe                       	Alvear Club                   	1208	3
135	219	Arakaki, Daniel                    	Boca Juniors                  	1202	3
136	200	Atamian, Martín                    	Inst.Atlet. Cultural          	1196	3
137	2011	Beirich, Enzo Gabriel              	San Lorenzo                   	1191	3
138	3350	Gitelman, Lorena                   	Macabi                        	1189	3
139	1676	Laiño, Alejandro Daniel            	CAVA                          	1179	3
140	2631	Takahashi, Brisa C.                	Alvear Club                   	1173	3
141	2588	Herrera, Juan Ignacio              	TMR                           	1163	3
142	3673	Fernicola Castiñeira, Juan M.      	Ateneo de Versailles          	1161	3
143	1771	Huarte, Thomas                     	La Legión TDM                 	1148	3
144	1290	Valin, Quimey                      	Boca Juniors                  	1145	3
145	1979	Collante, Axel                     	Fenix                         	1144	3
146	897	Otero Saumell, Juan                	GTM                           	1143	3
147	2736	Parodi, Oscar                      	Alvear Club                   	1143	3
148	3359	Puk Vidal, Santiago                	Peretz                        	1130	3
149	1987	Yamaguchi, Luis Alberto            	Peñarol                       	1118	3
150	3155	Barraza, Geronimo                  	GTM                           	1108	3
151	3175	Lira, Reinaldo                     	Ferrocarril Oeste             	1107	3
152	3562	Villegas Castiñeiras, Maximo       	La Legión TDM                 	1105	3
153	3943	Scorza, Ezequiel                   	Boca Juniors                  	1105	3
154	1568	Morinigo, Matías                   	Asoc. Jap. Burzaco            	1091	3
155	3544	Devesa, Gabriel F.                 	Alvear Club                   	1091	3
156	3790	Lapalma, Dylan                     	GTM                           	1088	3
157	3396	Malenchini, Jorge Daniel           	Padilla                       	1081	3
158	1348	Lori, David                        	GTM                           	1074	3
159	2896	Paz, Facundo J.                    	Alvear Club                   	1073	3
160	3585	Ferreyra, Dante V.                 	GTM                           	1069	3
161	1519	Geronimo, Ismael Alejandro         	Top Minc                      	1064	4
162	4257	Castro, Nicolas                    	TMR                           	1062	4
163	3103	Vega, Nicolás                      	Alvear Club                   	1046	4
164	1168	Gonzalez, Lucas Horacio            	Top Minc                      	1044	4
165	1662	Guglielmone, Gustavo               	Fenix                         	1041	4
166	3366	Sosa, Ignacio J.                   	Tigre TDM                     	1037	4
167	1259	Kalbermatter, Roberto              	GTM                           	1027	4
168	647	Shinzato, Adrián                   	Ateneo de Versailles          	1021	4
