title	views	year_ago	year
William Lyon - Will You Be My Graph Data-bae? A Graph Data Love Story	38	1	2021
Identifying the who, what, and (sometimes) where of research data sharing at an academic institution	38	1	2021
Lucille Moore - Open science in infant neuroimaging research	37	2	2020
Mateusz Kuzak - Growing and Supporting Open and Inclusive Research Software Culture	36	2	2020
Data Science Training and Community Building through Hackweeks - Micaela Parker	36	3	2019
From tweet to sheet: crowdsourcing a global survey of Open GLAM	34	1	2021
Joe Wass: notsoBig Data: crunching Wikipedia referrer logs	34	6	2016
Using Research and Technology to Tackle Gender Bias - Mollie Marr	32	3	2019
Eric Buth - CSVConf 2017	32	5	2017
Day 2 Lightning Talks - csvconf	30	3	2019
Maciej Gryka Gotta: Gotta catch'em all: recognizing sloppy work in crowdsourcing tasks	30	6	2016
The Data to Policy Project: Using Data to Build More Equitable Communities - Melissa Mejia	28	3	2019
CSVConf 2017 Closing	27	5	2017
Bradly Alicea - Epistomological Directories for Research Development and Education	26	2	2020
Serah Njambi: Life/Death Decisions: Powered by CSVs	26	6	2016
Preparing Clients for Open Source Contributions - Aaron Couch	20	3	2019
