Dirección	Barrio	N° Registro
JUNCAL 1151, 5° B	RETIRO	RL-2021-17896859-GCABA-DGDTU
AV. CORRIENTES 1856, 9° 5095	BALVANERA	RL-2021-17897712-GCABA-DGDTU
AV. CORRIENTES 1856, 4° 5044	BALVANERA	RL-2021-17898457-GCABA-DGDTU
AV. CORRIENTES 1856, 7° 5074	BALVANERA	RL-2021-17898942-GCABA-DGDTU
AV. CORRIENTES 1856, 10° 5106	BALVANERA	RL-2021-17899430-GCABA-DGDTU
AV. CORRIENTES 1856, 10° 5104	BALVANERA	RL-2021-17899840-GCABA-DGDTU
JUNIN 1733, 7° D	RECOLETA	RL-2021-17900486-GCABA-DGDTU
JUNIN 1733, 2° D	RECOLETA	RL-2021-17901931-GCABA-DGDTU
AV. CORRIENTES 1856, 11° 5113	BALVANERA	RL-2021-17903839-GCABA-DGDTU
AV. CORRIENTES 1856, 10° 5105	BALVANERA	RL-2021-17905096-GCABA-DGDTU
JUNIN 1733, 3° C	RECOLETA	RL-2021-17908103-GCABA-DGDTU
JUNIN 1733, 1° B	RECOLETA	RL-2021-18647102-GCABA-DGDTU
AREVALO 2768, 2° G	PALERMO	RL-2021-18768440-GCABA-DGDTU
JUNIN 1733, 4° C	RECOLETA	RL-2021-18774803-GCABA-DGDTU
JUNIN 1733, 5° A	RECOLETA	RL-2021-18779802-GCABA-DGDTU
JUNIN 1733, 9° D	RECOLETA	RL-2021-18780581-GCABA-DGDTU
JUNIN 1733, 5° C	RECOLETA	RL-2021-18781694-GCABA-DGDTU
JUNIN 1733, 2° C	RECOLETA	RL-2021-18782308-GCABA-DGDTU
JUNIN 1733, 4° A	RECOLETA	RL-2021-18783533-GCABA-DGDTU
JUNIN 1733, 3° D	RECOLETA	RL-2021-18785867-GCABA-DGDTU
JUNIN 1733, 8° D	RECOLETA	RL-2021-18787000-GCABA-DGDTU
JUNIN 1733, 8° A	RECOLETA	RL-2021-18814006-GCABA-DGDTU
PALPA 2390, 12° B	PALERMO	RL-2021-18814997-GCABA-DGDTU
AV. CORRIENTES 1856, 10° 5102	BALVANERA	RL-2021-18816384-GCABA-DGDTU
JUNIN 1733, 8° C	RECOLETA	RL-2021-18818931-GCABA-DGDTU
POTOSI 4015, 4° C	ALMAGRO	RL-2021-18821954-GCABA-DGDTU
JUNIN 1733, 6° A	RECOLETA	RL-2021-18822880-GCABA-DGDTU
JUNIN 1733, 4° D	RECOLETA	RL-2021-18823345-GCABA-DGDTU
JUNIN 1733, 5° B	RECOLETA	RL-2021-18823944-GCABA-DGDTU
JUNIN 1733, 2° B	RECOLETA	RL-2021-18827501-GCABA-DGDTU
JUNIN 1733, 8° B	RECOLETA	RL-2021-18827978-GCABA-DGDTU
JUNIN 1733, 3° A	RECOLETA	RL-2021-18829147-GCABA-DGDTU
AV. CORRIENTES 1856, 8° 5086	BALVANERA	RL-2021-18833137-GCABA-DGDTU
AV. CORRIENTES 1856, 8° 5081	BALVANERA	RL-2021-18833600-GCABA-DGDTU
AV. CORRIENTES 1856, 10° 5101	BALVANERA	RL-2021-18834044-GCABA-DGDTU
AV. CORRIENTES 1856, 7° 5078	BALVANERA	RL-2021-18834339-GCABA-DGDTU
AYACUCHO 277	BALVANERA	RL-2021-19501767-GCABA-DGDTU
TRESDE FEBRERO 2328, 2° 13	BELGRANO	RL-2021-23209716-GCABA-DGDTU
GUALEGUAY 1290	BARRACAS	RL-2021-23210951-GCABA-DGDTU
BLANCOENCALADA 2601, 1° 1	BELGRANO	RL-2021-23211036-GCABA-DGDTU
